onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.044	8	1	rotation-90	start_session	n/a	n/a
26.051	3.50188593045736	1	rotation-90	erasing	rightward	0
35.578	1.12860629401983	1	rotation-90	erasing	upward	7
45.089	3.50011480086668	1	rotation-90	erasing	upward	5
54.598	3.50190381769329	1	rotation-90	erasing	downward	5
64.125	3.50195659970096	1	rotation-90	erasing	leftward	3
73.651	3.50184253191772	1	rotation-90	erasing	leftward	6
83.178	3.50181232888	1	rotation-90	erasing	rightward	2
92.704	1.01247883954651	1	rotation-90	erasing	rightward	7
102.214	3.50188827632437	1	rotation-90	erasing	downward	4
111.74	3.40224141727901	1	rotation-90	erasing	downward	7
121.25	3.50001011655147	1	rotation-90	erasing	rightward	0
130.759	1.54344765622961	1	rotation-90	erasing	leftward	7
140.27	2.87120398398594	1	rotation-90	erasing	upward	7
149.78	2.15754901469187	1	rotation-90	erasing	leftward	7
159.289	2.40647775986122	1	rotation-90	erasing	downward	7
168.8	1.46045088150351	1	rotation-90	erasing	upward	7
178.309	3.50194076509866	1	rotation-90	erasing	rightward	6
197.86	4	1	rotation-90	score	n/a	n/a
201.86	8	1	rotation-90	end_session	n/a	n/a
219.9	8	2	mirror	start_session	n/a	n/a
233.907	1.49366923803014	2	mirror	erasing	leftward	7
243.418	3.50179590781095	2	mirror	erasing	upward	4
252.944	3.50181262211337	2	mirror	erasing	upward	4
262.47	3.50003768048881	2	mirror	erasing	downward	6
271.981	2.17414250496957	2	mirror	erasing	rightward	7
281.49	3.50183402814982	2	mirror	erasing	rightward	5
291.017	3.03707437542024	2	mirror	erasing	leftward	7
300.526	3.50184253191772	2	mirror	erasing	leftward	6
310.053	3.40227396618374	2	mirror	erasing	downward	7
319.562	3.50185660711977	2	mirror	erasing	downward	1
329.089	3.50185367478601	2	mirror	erasing	leftward	2
338.615	3.50181702061401	2	mirror	erasing	rightward	0
348.142	3.50005820682512	2	mirror	erasing	upward	1
357.652	3.50007140232704	2	mirror	erasing	rightward	0
367.162	3.50182523114854	2	mirror	erasing	downward	6
376.689	3.50000747745109	2	mirror	erasing	upward	2
386.198	3.50182874994905	2	mirror	erasing	leftward	1
405.748	4	2	mirror	score	n/a	n/a
409.748	8	2	mirror	end_session	n/a	n/a
427.789	8	3	mirror	start_session	n/a	n/a
441.796	3.50006934969341	3	mirror	erasing	upward	1
451.307	3.50182669731542	3	mirror	erasing	downward	1
460.833	3.50003064288779	3	mirror	erasing	downward	4
470.343	2.98733994222716	3	mirror	erasing	rightward	7
479.852	3.50002976318766	3	mirror	erasing	leftward	5
489.363	0.97917749797449	3	mirror	erasing	leftward	7
498.873	3.50185778005327	3	mirror	erasing	upward	3
508.399	3.50186892292155	3	mirror	erasing	upward	6
517.926	3.50183226874956	3	mirror	erasing	rightward	2
