onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.08	8	1	rotation+90	start_session	n/a	n/a
26.126	3.50357418971664	1	rotation+90	erasing	downward	5
35.657	2.8441457870044	1	rotation+90	erasing	rightward	7
45.166	2.66597603496622	1	rotation+90	erasing	rightward	7
54.676	3.50007168006117	1	rotation+90	erasing	upward	2
64.191	3.50708736604789	1	rotation+90	erasing	leftward	1
73.723	2.69507387312971	1	rotation+90	erasing	leftward	7
83.23	3.50877696748968	1	rotation+90	erasing	downward	3
92.764	1.52874669119718	1	rotation+90	erasing	downward	7
102.274	3.51178710339166	1	rotation+90	erasing	upward	1
111.812	2.92379982830919	1	rotation+90	erasing	upward	7
121.32	3.50383872327571	1	rotation+90	erasing	downward	0
130.85	2.87662368138554	1	rotation+90	erasing	leftward	7
140.359	3.506825392491	1	rotation+90	erasing	rightward	6
149.893	1.3601547606654	1	rotation+90	erasing	leftward	7
159.397	3.50003285336137	1	rotation+90	erasing	upward	4
168.912	2.91798521001405	1	rotation+90	erasing	rightward	7
178.419	2.66467000718507	1	rotation+90	erasing	downward	7
197.972	4	1	rotation+90	score	n/a	n/a
201.972	8	1	rotation+90	end_session	n/a	n/a
219.993	8	2	mirror	start_session	n/a	n/a
234	3.50002730668997	2	mirror	erasing	leftward	5
243.512	1.54953262893451	2	mirror	erasing	rightward	7
253.021	1.83060209544712	2	mirror	erasing	rightward	7
262.529	3.500055466714	2	mirror	erasing	upward	4
272.042	2.46674770495804	2	mirror	erasing	downward	7
281.55	3.4337633568114	2	mirror	erasing	downward	7
291.058	3.50001920001638	2	mirror	erasing	leftward	6
300.572	3.51633324060437	2	mirror	erasing	leftward	5
310.113	3.36400756395312	2	mirror	erasing	upward	7
319.621	2.40928376258881	2	mirror	erasing	upward	7
329.13	2.02068225764886	2	mirror	erasing	leftward	7
338.639	3.50111488095137	2	mirror	erasing	downward	4
348.165	3.00339840289997	2	mirror	erasing	rightward	7
357.673	2.4072997608958	2	mirror	erasing	downward	7
367.183	3.13513739531724	2	mirror	erasing	upward	7
376.69	3.10067336590794	2	mirror	erasing	rightward	7
386.197	1.82916380088644	2	mirror	erasing	leftward	7
405.715	4	2	mirror	score	n/a	n/a
409.715	8	2	mirror	end_session	n/a	n/a
427.735	8	3	mirror	start_session	n/a	n/a
441.742	2.44198949716437	3	mirror	erasing	leftward	7
451.252	1.70481980144623	3	mirror	erasing	rightward	7
460.761	2.66662158218375	3	mirror	erasing	rightward	7
470.269	3.17987471349309	3	mirror	erasing	downward	7
479.778	2.90868088207435	3	mirror	erasing	upward	7
489.287	3.15403490477645	3	mirror	erasing	upward	7
498.796	3.20377020055057	3	mirror	erasing	leftward	7
508.305	2.76085739593164	3	mirror	erasing	leftward	7
517.813	2.45654268291642	3	mirror	erasing	downward	7
527.322	2.15339362422923	3	mirror	erasing	downward	7
536.83	1.79683523996607	3	mirror	erasing	leftward	7
546.339	3.51248086398367	3	mirror	erasing	upward	6
555.876	1.66095587068234	3	mirror	erasing	rightward	7
565.384	2.65703565400376	3	mirror	erasing	upward	7
574.893	1.70343612026549	3	mirror	erasing	downward	7
584.401	1.98358611932682	3	mirror	erasing	rightward	7
593.909	3.50002901335809	3	mirror	erasing	leftward	3
613.432	4	3	mirror	score	n/a	n/a
617.432	8	3	mirror	end_session	n/a	n/a
635.451	8	4	mirror	start_session	n/a	n/a
649.458	3.35482782278641	4	mirror	erasing	upward	7
658.967	1.93514447798995	4	mirror	erasing	downward	7
668.476	2.24593300986283	4	mirror	erasing	downward	7
677.985	2.80738159563229	4	mirror	erasing	rightward	7
687.493	1.63753654403118	4	mirror	erasing	leftward	7
697.002	1.66643214202209	4	mirror	erasing	leftward	7
706.51	2.61236105588143	4	mirror	erasing	upward	7
716.019	2.04029358105052	4	mirror	erasing	upward	7
725.523	1.69007461553034	4	mirror	erasing	rightward	7
735.031	1.70377916055822	4	mirror	erasing	rightward	7
744.54	3.11661108617479	4	mirror	erasing	upward	7
754.049	2.97924691562403	4	mirror	erasing	leftward	7
763.555	3.03764269878844	4	mirror	erasing	downward	7
773.066	2.07063643360976	4	mirror	erasing	leftward	7
782.574	1.59855240409805	4	mirror	erasing	rightward	7
792.079	3.14876087360928	4	mirror	erasing	downward	7
801.588	2.91171448466303	4	mirror	erasing	upward	7
821.107	4	4	mirror	score	n/a	n/a
825.107	8	4	mirror	end_session	n/a	n/a
843.126	8	5	rotation+90	start_session	n/a	n/a
857.133	2.53194242725754	5	rotation+90	erasing	downward	7
866.642	2.03649667114383	5	rotation+90	erasing	upward	7
876.151	2.08124892266575	5	rotation+90	erasing	upward	7
885.659	2.5613090656504	5	rotation+90	erasing	leftward	7
895.166	3.50006570672274	5	rotation+90	erasing	rightward	2
904.679	3.50046165372728	5	rotation+90	erasing	rightward	3
914.205	2.36341620344849	5	rotation+90	erasing	downward	7
923.712	2.42430670874172	5	rotation+90	erasing	downward	7
933.221	2.20413073419156	5	rotation+90	erasing	leftward	7
942.73	1.89963042101796	5	rotation+90	erasing	leftward	7
952.238	2.21373202238466	5	rotation+90	erasing	downward	7
961.745	3.50006954672601	5	rotation+90	erasing	rightward	2
971.259	2.11658719282107	5	rotation+90	erasing	upward	7
980.767	3.50004480003823	5	rotation+90	erasing	rightward	1
990.281	3.50397440339149	5	rotation+90	erasing	leftward	6
999.809	3.33135942942671	5	rotation+90	erasing	upward	7
