onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.058	8	1	rotation-90	start_session	n/a	n/a
26.095	2.43058383409821	1	rotation-90	erasing	upward	7
35.605	3.50007850673366	1	rotation-90	erasing	rightward	0
45.12	3.50147669459345	1	rotation-90	erasing	rightward	1
54.648	3.5000332800284	1	rotation-90	erasing	leftward	2
64.164	1.74698986409802	1	rotation-90	erasing	downward	7
73.675	3.50003072002621	1	rotation-90	erasing	downward	3
83.187	3.50001365334498	1	rotation-90	erasing	upward	3
92.701	3.50003669336464	1	rotation-90	erasing	upward	1
102.214	3.50004608003932	1	rotation-90	erasing	leftward	3
111.737	3.51336662473952	1	rotation-90	erasing	leftward	5
121.273	3.51427371884691	1	rotation-90	erasing	upward	0
130.813	1.49494186235039	1	rotation-90	erasing	downward	7
140.32	3.5091656611547	1	rotation-90	erasing	rightward	3
149.854	3.50005717338212	1	rotation-90	erasing	downward	2
159.366	3.50000256000218	1	rotation-90	erasing	leftward	5
168.879	3.51381803845806	1	rotation-90	erasing	rightward	4
178.418	3.50000768000655	1	rotation-90	erasing	upward	2
197.958	4	1	rotation-90	score	n/a	n/a
201.958	8	1	rotation-90	end_session	n/a	n/a
219.976	8	2	rotation-90	start_session	n/a	n/a
233.984	3.50005120004369	2	rotation-90	erasing	downward	1
243.496	1.04431193114618	2	rotation-90	erasing	upward	7
253.004	3.50886912756832	2	rotation-90	erasing	upward	3
262.54	3.51100630272538	2	rotation-90	erasing	leftward	1
272.076	3.51308715783437	2	rotation-90	erasing	rightward	5
281.614	1.69413435232798	2	rotation-90	erasing	rightward	7
291.122	3.50909014109025	2	rotation-90	erasing	downward	3
300.656	1.61234654920239	2	rotation-90	erasing	downward	7
310.163	3.50867584740339	2	rotation-90	erasing	leftward	2
319.697	3.51330817135631	2	rotation-90	erasing	leftward	4
329.234	3.51340971810963	2	rotation-90	erasing	downward	1
338.773	1.69546043345957	2	rotation-90	erasing	rightward	7
348.281	3.50867243406714	2	rotation-90	erasing	upward	6
357.814	3.512790624248	2	rotation-90	erasing	rightward	4
367.352	3.27967469198907	2	rotation-90	erasing	leftward	7
376.86	3.51145856977798	2	rotation-90	erasing	upward	3
386.396	3.50000597333843	2	rotation-90	erasing	downward	1
405.919	4	2	rotation-90	score	n/a	n/a
409.919	8	2	rotation-90	end_session	n/a	n/a
427.939	8	3	rotation+90	start_session	n/a	n/a
441.946	1.80289049846656	3	rotation+90	erasing	leftward	7
451.456	1.83354012462091	3	rotation+90	erasing	rightward	7
460.964	3.50002261335263	3	rotation+90	erasing	rightward	4
470.476	1.38571168914064	3	rotation+90	erasing	downward	7
479.984	3.50007381339632	3	rotation+90	erasing	upward	0
489.498	1.27434775411008	3	rotation+90	erasing	upward	7
499.006	3.50179754820057	3	rotation+90	erasing	leftward	3
508.533	3.51279915758861	3	rotation+90	erasing	leftward	3
518.07	1.27831746416424	3	rotation+90	erasing	downward	7
527.58	3.50842838052555	3	rotation+90	erasing	downward	1
