onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.077	8	1	rotation+90	start_session	n/a	n/a
26.128	2.96204114094177	1	rotation+90	erasing	downward	7
35.637	2.4707605083823	1	rotation+90	erasing	rightward	7
45.148	2.13168992570874	1	rotation+90	erasing	rightward	7
54.658	3.50958678151405	1	rotation+90	erasing	upward	6
64.193	3.51455873242345	1	rotation+90	erasing	leftward	4
73.732	3.50925739456631	1	rotation+90	erasing	leftward	2
83.265	3.5000887467424	1	rotation+90	erasing	downward	2
92.782	3.50005333337884	1	rotation+90	erasing	downward	4
102.309	2.37942987044682	1	rotation+90	erasing	upward	7
111.819	1.94012880224324	1	rotation+90	erasing	upward	7
121.326	1.63856865157858	1	rotation+90	erasing	downward	7
130.835	3.50010752009175	1	rotation+90	erasing	leftward	1
140.359	3.51331926469911	1	rotation+90	erasing	rightward	3
149.897	3.51403563864374	1	rotation+90	erasing	leftward	2
159.436	3.51215787704139	1	rotation+90	erasing	upward	5
168.973	3.51288534432883	1	rotation+90	erasing	rightward	2
178.51	2.77902018476389	1	rotation+90	erasing	downward	7
198.06	4	1	rotation+90	score	n/a	n/a
202.06	8	1	rotation+90	end_session	n/a	n/a
220.082	8	2	mirror	start_session	n/a	n/a
234.091	1.573830463002	2	mirror	erasing	leftward	7
243.599	3.20307174662122	2	mirror	erasing	rightward	7
253.109	3.09788808353116	2	mirror	erasing	rightward	7
262.618	1.89344758907528	2	mirror	erasing	upward	7
272.125	2.88972619923302	2	mirror	erasing	downward	7
281.633	3.50364330977562	2	mirror	erasing	downward	6
291.161	3.51315798456148	2	mirror	erasing	leftward	6
300.7	1.36198985556468	2	mirror	erasing	leftward	7
310.208	2.37375519893777	2	mirror	erasing	upward	7
319.717	3.50611285854964	2	mirror	erasing	upward	5
329.247	1.27711340980344	2	mirror	erasing	leftward	7
338.757	3.50003242669434	2	mirror	erasing	downward	5
348.27	1.71303186178719	2	mirror	erasing	rightward	7
357.778	1.8959768712336	2	mirror	erasing	downward	7
367.287	3.00568149818154	2	mirror	erasing	upward	7
376.796	2.93340324983744	2	mirror	erasing	rightward	7
386.306	1.51142528974958	2	mirror	erasing	leftward	7
405.824	4	2	mirror	score	n/a	n/a
409.824	8	2	mirror	end_session	n/a	n/a
427.846	8	3	mirror	start_session	n/a	n/a
441.853	1.78957550043776	3	mirror	erasing	leftward	7
451.361	2.11879306137008	3	mirror	erasing	rightward	7
460.87	1.78107245318183	3	mirror	erasing	rightward	7
470.378	2.21253564803042	3	mirror	erasing	downward	7
479.886	2.34063858401159	3	mirror	erasing	upward	7
489.394	2.95342033358535	3	mirror	erasing	upward	7
498.903	2.2140349559765	3	mirror	erasing	leftward	7
508.413	1.21049703295747	3	mirror	erasing	leftward	7
