onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.057	8	1	rotation+90	start_session	n/a	n/a
26.095	3.50135552115671	1	rotation+90	erasing	rightward	1
35.62	3.51168427663725	1	rotation+90	erasing	downward	1
45.159	3.51180801007617	1	rotation+90	erasing	downward	0
54.696	1.4778896877992	1	rotation+90	erasing	leftward	7
64.206	3.50571264487479	1	rotation+90	erasing	upward	5
73.738	3.51323009128968	1	rotation+90	erasing	upward	3
83.275	3.51210710366473	1	rotation+90	erasing	rightward	3
92.813	3.51097856936838	1	rotation+90	erasing	rightward	3
102.353	3.50907776774636	1	rotation+90	erasing	leftward	0
111.889	3.50003584003058	1	rotation+90	erasing	leftward	6
121.4	3.50008832007537	1	rotation+90	erasing	rightward	1
130.914	3.33161841631438	1	rotation+90	erasing	upward	7
140.418	3.51136768970043	1	rotation+90	erasing	downward	4
149.956	3.51245569062886	1	rotation+90	erasing	upward	4
159.493	3.51202049025748	1	rotation+90	erasing	leftward	6
169.03	2.09553544152358	1	rotation+90	erasing	downward	7
178.537	3.50009344007974	1	rotation+90	erasing	rightward	6
198.078	4	1	rotation+90	score	n/a	n/a
202.078	8	1	rotation+90	end_session	n/a	n/a
220.097	8	2	mirror	start_session	n/a	n/a
234.105	2.91622520851218	2	mirror	erasing	upward	7
243.613	1.6619568315365	2	mirror	erasing	rightward	7
253.122	0.958476764566839	2	mirror	erasing	rightward	7
262.63	2.25500907094107	2	mirror	erasing	downward	7
272.14	1.56562992267087	2	mirror	erasing	leftward	7
281.649	1.11151284182429	2	mirror	erasing	leftward	7
291.157	3.50751232641052	2	mirror	erasing	upward	4
300.69	1.24601151659649	2	mirror	erasing	upward	7
310.197	1.1079740654712	2	mirror	erasing	downward	7
319.707	2.68790672034707	2	mirror	erasing	downward	7
329.215	2.34904307118342	2	mirror	erasing	upward	7
338.724	1.36138996171943	2	mirror	erasing	leftward	7
348.234	2.55683802183511	2	mirror	erasing	rightward	7
357.742	1.31884400541355	2	mirror	erasing	leftward	7
367.25	3.51488427936792	2	mirror	erasing	downward	4
376.79	1.02961026526743	2	mirror	erasing	rightward	7
386.299	2.54180355567237	2	mirror	erasing	upward	7
405.818	4	2	mirror	score	n/a	n/a
409.818	8	2	mirror	end_session	n/a	n/a
427.839	8	3	rotation-90	start_session	n/a	n/a
441.846	3.50613803190445	3	rotation-90	erasing	leftward	4
451.377	2.35922718654053	3	rotation-90	erasing	upward	7
460.887	2.03843245946237	3	rotation-90	erasing	upward	7
470.394	3.50000682667249	3	rotation-90	erasing	rightward	5
479.906	3.51136939636855	3	rotation-90	erasing	downward	4
489.443	3.50003541336355	3	rotation-90	erasing	downward	6
498.956	3.50379349657045	3	rotation-90	erasing	leftward	3
508.484	3.51436630559258	3	rotation-90	erasing	leftward	2
518.024	3.50005461337994	3	rotation-90	erasing	rightward	5
527.537	3.50005376004588	3	rotation-90	erasing	rightward	0
537.051	3.50003157336028	3	rotation-90	erasing	leftward	4
546.566	3.50007338672929	3	rotation-90	erasing	downward	0
556.089	3.50004181336901	3	rotation-90	erasing	upward	6
565.603	3.5026926956311	3	rotation-90	erasing	downward	2
575.13	3.50002133335154	3	rotation-90	erasing	rightward	2
584.642	2.75625493867088	3	rotation-90	erasing	upward	7
594.149	3.50009557341489	3	rotation-90	erasing	leftward	1
613.671	4	3	rotation-90	score	n/a	n/a
617.671	8	3	rotation-90	end_session	n/a	n/a
635.692	8	4	rotation+90	start_session	n/a	n/a
649.698	2.09589597516457	4	rotation+90	erasing	downward	7
659.206	3.50002005335045	4	rotation+90	erasing	rightward	4
668.721	3.51498753278936	4	rotation+90	erasing	rightward	2
678.261	3.48841599011498	4	rotation+90	erasing	upward	7
687.769	3.500083200071	4	rotation+90	erasing	leftward	0
697.284	3.5160409736883	4	rotation+90	erasing	leftward	6
706.824	1.74576106304944	4	rotation+90	erasing	downward	7
716.332	1.05809967624506	4	rotation+90	erasing	downward	7
725.84	3.50001450667905	4	rotation+90	erasing	upward	4
735.352	0.896546898386687	4	rotation+90	erasing	upward	7
744.859	3.51129131630192	4	rotation+90	erasing	downward	5
754.395	3.50000640000546	4	rotation+90	erasing	leftward	1
763.907	3.50718592613199	4	rotation+90	erasing	rightward	1
773.439	3.51331969136614	4	rotation+90	erasing	leftward	6
782.98	3.50017322681449	4	rotation+90	erasing	upward	5
792.496	3.50002176001857	4	rotation+90	erasing	rightward	4
802.018	3.50000853334062	4	rotation+90	erasing	downward	2
821.54	4	4	rotation+90	score	n/a	n/a
825.54	8	4	rotation+90	end_session	n/a	n/a
843.558	8	5	mirror	start_session	n/a	n/a
857.565	3.50596651175809	5	mirror	erasing	upward	5
867.096	1.64697484541853	5	mirror	erasing	rightward	7
876.604	1.10988254709977	5	mirror	erasing	rightward	7
886.112	3.50006613338977	5	mirror	erasing	downward	3
895.625	1.79703748013865	5	mirror	erasing	leftward	7
905.134	1.27417708729778	5	mirror	erasing	leftward	7
914.642	3.50677205911216	5	mirror	erasing	upward	3
924.173	3.13069024485568	5	mirror	erasing	upward	7
933.681	3.50937259466461	5	mirror	erasing	downward	3
943.214	3.51246081063322	5	mirror	erasing	downward	7
952.751	3.5135023048553	5	mirror	erasing	upward	3
962.29	1.1134759368328	5	mirror	erasing	leftward	7
971.797	0.90907426907671	5	mirror	erasing	rightward	7
981.306	1.00411477684461	5	mirror	erasing	leftward	7
990.816	3.48287529205358	5	mirror	erasing	downward	7
1000.324	0.895072763795425	5	mirror	erasing	rightward	7
1009.832	3.50894550096683	5	mirror	erasing	upward	6
1029.376	4	5	mirror	score	n/a	n/a
1033.376	8	5	mirror	end_session	n/a	n/a
1051.396	8	6	rotation+90	start_session	n/a	n/a
