onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.058	8	1	rotation-90	start_session	n/a	n/a
26.094	3.50979200835585	1	rotation-90	erasing	upward	7
35.629	3.51243734394653	1	rotation-90	erasing	rightward	1
45.168	3.50263210891273	1	rotation-90	erasing	rightward	2
54.691	3.5000998400852	1	rotation-90	erasing	leftward	2
64.21	3.51183019676177	1	rotation-90	erasing	downward	2
73.749	3.51058774236821	1	rotation-90	erasing	downward	7
83.284	3.50001578668014	1	rotation-90	erasing	upward	4
92.797	2.00263936225226	1	rotation-90	erasing	upward	7
102.308	2.66400568661819	1	rotation-90	erasing	leftward	7
111.818	3.50001066667577	1	rotation-90	erasing	leftward	5
121.333	1.11327966999865	1	rotation-90	erasing	upward	7
130.842	2.42708473777898	1	rotation-90	erasing	downward	7
140.351	3.50509013767692	1	rotation-90	erasing	rightward	4
149.881	3.51311361119028	1	rotation-90	erasing	downward	0
159.419	3.51532502641069	1	rotation-90	erasing	leftward	1
168.958	3.50990763512118	1	rotation-90	erasing	rightward	3
178.492	3.50001962668341	1	rotation-90	erasing	upward	2
198.032	4	1	rotation-90	score	n/a	n/a
202.032	8	1	rotation-90	end_session	n/a	n/a
220.051	8	2	mirror	start_session	n/a	n/a
234.059	3.50003626669761	2	mirror	erasing	leftward	4
243.57	3.16586808820744	2	mirror	erasing	rightward	7
253.079	1.21193916752142	2	mirror	erasing	rightward	7
262.587	3.50006058671837	2	mirror	erasing	upward	5
272.098	3.35302856791771	2	mirror	erasing	downward	7
281.607	2.63088011168436	2	mirror	erasing	downward	7
291.114	2.64276449515904	2	mirror	erasing	leftward	7
300.623	3.50003242669434	2	mirror	erasing	leftward	5
310.136	3.01496022609939	2	mirror	erasing	upward	7
319.644	3.50007594673147	2	mirror	erasing	upward	6
329.156	2.61868639461239	2	mirror	erasing	leftward	7
338.665	3.50002176001857	2	mirror	erasing	downward	6
348.178	2.27276524609301	2	mirror	erasing	rightward	7
357.688	3.19988710390366	2	mirror	erasing	downward	7
367.197	3.51249195732647	2	mirror	erasing	upward	6
376.734	3.03003309229491	2	mirror	erasing	rightward	7
386.242	3.50002048001748	2	mirror	erasing	leftward	4
405.771	4	2	mirror	score	n/a	n/a
409.771	8	2	mirror	end_session	n/a	n/a
427.791	8	3	rotation-90	start_session	n/a	n/a
441.8	3.50000853334062	3	rotation-90	erasing	downward	4
451.312	3.50584747165651	3	rotation-90	erasing	leftward	0
460.843	3.50873686078879	3	rotation-90	erasing	leftward	1
470.375	3.51371393170256	3	rotation-90	erasing	rightward	3
479.914	3.50007637339851	3	rotation-90	erasing	upward	4
489.434	2.00032512027744	3	rotation-90	erasing	upward	7
498.943	3.51050198229502	3	rotation-90	erasing	downward	2
508.478	3.51054123566185	3	rotation-90	erasing	downward	5
518.014	3.5138713718369	3	rotation-90	erasing	rightward	1
527.554	3.50065408055815	3	rotation-90	erasing	rightward	2
537.074	3.50005248004478	3	rotation-90	erasing	downward	2
546.594	3.5134191047843	3	rotation-90	erasing	upward	3
556.132	3.50006442672164	3	rotation-90	erasing	leftward	1
565.646	3.50477440407416	3	rotation-90	erasing	upward	4
575.175	3.50388650998316	3	rotation-90	erasing	rightward	1
584.696	2.32821446674301	3	rotation-90	erasing	leftward	7
594.205	2.87366303885913	3	rotation-90	erasing	downward	7
613.723	4	3	rotation-90	score	n/a	n/a
617.723	8	3	rotation-90	end_session	n/a	n/a
635.743	8	4	rotation+90	start_session	n/a	n/a
649.751	3.5000166400142	4	rotation+90	erasing	leftward	0
659.263	2.64623116478393	4	rotation+90	erasing	rightward	7
668.772	3.50754389977079	4	rotation+90	erasing	rightward	6
678.304	3.50002432002075	4	rotation+90	erasing	downward	3
687.815	3.50000981334171	4	rotation+90	erasing	upward	5
697.329	1.9298943401765	4	rotation+90	erasing	upward	7
706.836	3.50004522670526	4	rotation+90	erasing	leftward	4
716.353	3.51542699983104	4	rotation+90	erasing	leftward	4
725.893	3.50000682667249	4	rotation+90	erasing	downward	5
735.405	3.50001792001529	4	rotation+90	erasing	downward	5
744.917	3.5141474254058	4	rotation+90	erasing	leftward	3
754.456	3.01295830439109	4	rotation+90	erasing	upward	7
763.964	3.50005077337666	4	rotation+90	erasing	rightward	0
773.478	3.50511872436798	4	rotation+90	erasing	upward	4
783.002	2.82883398727167	4	rotation+90	erasing	downward	7
792.51	3.50966571491474	4	rotation+90	erasing	rightward	1
802.045	3.51188267680655	4	rotation+90	erasing	leftward	3
821.593	4	4	rotation+90	score	n/a	n/a
825.593	8	4	rotation+90	end_session	n/a	n/a
843.611	8	5	mirror	start_session	n/a	n/a
857.618	1.47908606215344	5	mirror	erasing	rightward	7
867.128	3.50928811459252	5	mirror	erasing	upward	6
876.66	3.51295403772078	5	mirror	erasing	upward	1
886.196	3.50001152000983	5	mirror	erasing	downward	5
895.708	2.09842525732289	5	mirror	erasing	leftward	7
905.217	3.5000221866856	5	mirror	erasing	leftward	6
914.73	2.06214874636693	5	mirror	erasing	rightward	7
924.237	2.30871749010559	5	mirror	erasing	rightward	7
933.747	3.5044475771286	5	mirror	erasing	downward	4
943.275	3.51122731624731	5	mirror	erasing	downward	6
952.813	3.50001877334935	5	mirror	erasing	rightward	3
962.325	3.50405248345812	5	mirror	erasing	leftward	5
971.855	2.11369396368552	5	mirror	erasing	upward	7
981.363	2.30705135535049	5	mirror	erasing	leftward	7
990.872	3.50297856254171	5	mirror	erasing	downward	2
1000.4	1.57825969344827	5	mirror	erasing	upward	7
1009.909	1.74181225967979	5	mirror	erasing	rightward	7
1029.428	4	5	mirror	score	n/a	n/a
1033.428	8	5	mirror	end_session	n/a	n/a
1051.447	8	6	mirror	start_session	n/a	n/a
1065.455	3.50004266670308	6	mirror	erasing	downward	6
1074.966	2.09721053628632	6	mirror	erasing	leftward	7
1084.475	3.50002133335154	6	mirror	erasing	leftward	5
1093.989	1.58235015027213	6	mirror	erasing	upward	7
1103.497	3.11291102968408	6	mirror	erasing	rightward	7
1113.006	2.34687346933203	6	mirror	erasing	rightward	7
1122.512	3.5063453920814	6	mirror	erasing	downward	5
1132.044	3.5128891843321	6	mirror	erasing	downward	5
1141.58	3.51385643849083	6	mirror	erasing	upward	4
1151.119	3.11409673736255	6	mirror	erasing	upward	7
1160.626	2.00842326052118	6	mirror	erasing	downward	7
1170.134	3.50668117903461	6	mirror	erasing	rightward	6
1179.665	3.50006613338977	6	mirror	erasing	leftward	6
1189.187	3.06386864116791	6	mirror	erasing	rightward	7
1198.696	3.45933479196569	6	mirror	erasing	upward	7
1208.204	2.88658976988994	6	mirror	erasing	leftward	7
1217.714	3.50002730668997	6	mirror	erasing	downward	5
1237.237	4	6	mirror	score	n/a	n/a
1241.237	8	6	mirror	end_session	n/a	n/a
1259.256	8	7	rotation-90	start_session	n/a	n/a
1273.263	1.97436243145594	7	rotation-90	erasing	leftward	7
1282.772	3.50003413336246	7	rotation-90	erasing	downward	3
1292.284	3.07860102707288	7	rotation-90	erasing	downward	7
1301.793	2.09138695798354	7	rotation-90	erasing	rightward	7
1311.303	2.56793819130726	7	rotation-90	erasing	upward	7
1320.811	3.50011605343237	7	rotation-90	erasing	upward	2
1330.325	3.50018005348698	7	rotation-90	erasing	leftward	2
1339.836	3.51312001119574	7	rotation-90	erasing	leftward	6
1349.375	3.51231275717355	7	rotation-90	erasing	rightward	1
1358.913	2.42895524604181	7	rotation-90	erasing	rightward	7
1368.422	3.50876416747876	7	rotation-90	erasing	leftward	4
1377.957	2.71060497971625	7	rotation-90	erasing	upward	7
1387.465	3.50722603283288	7	rotation-90	erasing	downward	0
1396.995	3.51483990599672	7	rotation-90	erasing	upward	3
1406.536	3.51257217072825	7	rotation-90	erasing	rightward	4
1416.074	3.51136598303231	7	rotation-90	erasing	downward	3
1425.611	3.50000512000437	7	rotation-90	erasing	leftward	6
1445.141	4	7	rotation-90	score	n/a	n/a
1449.141	8	7	rotation-90	end_session	n/a	n/a
1467.163	8	8	rotation-90	start_session	n/a	n/a
1481.17	3.5120789436407	8	rotation-90	erasing	rightward	4
1490.706	2.44580603375448	8	rotation-90	erasing	downward	7
1500.215	3.30914885047369	8	rotation-90	erasing	downward	7
1509.723	3.50418773690687	8	rotation-90	erasing	leftward	6
1519.253	3.51597100029525	8	rotation-90	erasing	upward	6
1528.792	2.36064756108592	8	rotation-90	erasing	upward	7
1538.3	3.500027733357	8	rotation-90	erasing	rightward	4
1547.812	3.50019541350009	8	rotation-90	erasing	rightward	2
1557.336	3.51596545362385	8	rotation-90	erasing	leftward	6
1566.876	3.50013696011687	8	rotation-90	erasing	leftward	3
1576.389	1.65147575592598	8	rotation-90	erasing	rightward	7
1585.897	3.51612033375602	8	rotation-90	erasing	upward	2
1595.438	3.21332156870107	8	rotation-90	erasing	downward	7
1604.946	2.84143133135474	8	rotation-90	erasing	upward	7
1614.456	3.50336938954188	8	rotation-90	erasing	leftward	4
1623.984	2.74313535414217	8	rotation-90	erasing	downward	7
1633.492	3.5000332800284	8	rotation-90	erasing	rightward	4
1653.015	4	8	rotation-90	score	n/a	n/a
1657.015	8	8	rotation-90	end_session	n/a	n/a
1675.033	8	9	mirror	start_session	n/a	n/a
1689.041	3.50003925336683	9	mirror	erasing	upward	4
1698.552	3.4954803161432	9	mirror	erasing	downward	7
1708.073	3.50004522670526	9	mirror	erasing	downward	6
1717.585	3.18739343990907	9	mirror	erasing	leftward	7
1727.093	3.50024106687238	9	mirror	erasing	rightward	4
1736.619	2.10958814684855	9	mirror	erasing	rightward	7
1746.127	3.32457755697285	9	mirror	erasing	upward	7
1755.632	3.50005504004697	9	mirror	erasing	upward	4
1765.148	3.51298177107778	9	mirror	erasing	leftward	1
1774.682	2.46598909097736	9	mirror	erasing	leftward	7
1784.191	3.51275905088772	9	mirror	erasing	upward	6
1793.728	2.24543764944013	9	mirror	erasing	rightward	7
1803.238	3.50675840576717	9	mirror	erasing	downward	4
1812.769	1.51213782369094	9	mirror	erasing	rightward	7
1822.278	2.55811247625598	9	mirror	erasing	leftward	7
1831.786	3.50510080435269	9	mirror	erasing	downward	1
1841.317	3.50008277340397	9	mirror	erasing	upward	6
1860.841	4	9	mirror	score	n/a	n/a
1864.841	8	9	mirror	end_session	n/a	n/a
1882.859	8	10	mirror	start_session	n/a	n/a
1896.866	2.05405572612755	10	mirror	erasing	upward	7
1906.375	1.98187561120052	10	mirror	erasing	rightward	7
1915.883	1.59598600190805	10	mirror	erasing	rightward	7
1925.392	2.94332880497391	10	mirror	erasing	leftward	7
1934.9	3.07068123364799	10	mirror	erasing	downward	7
1944.408	3.50002133335154	10	mirror	erasing	downward	5
1953.92	3.14395489617484	10	mirror	erasing	upward	7
1963.427	3.50003669336464	10	mirror	erasing	upward	1
1972.941	1.22959336925301	10	mirror	erasing	leftward	7
1982.449	3.50954752814722	10	mirror	erasing	leftward	6
1991.982	3.01392555854981	10	mirror	erasing	upward	7
2001.491	2.38054133806194	10	mirror	erasing	downward	7
2011	2.68798224041151	10	mirror	erasing	rightward	7
2020.509	3.00046165372728	10	mirror	erasing	downward	7
2030.017	3.50206165509261	10	mirror	erasing	leftward	6
2039.538	3.50009344007974	10	mirror	erasing	rightward	5
2049.051	3.50658560561972	10	mirror	erasing	upward	3
2068.593	4	10	mirror	score	n/a	n/a
2072.593	8	10	mirror	end_session	n/a	n/a
2090.612	8	11	rotation+90	start_session	n/a	n/a
2104.62	3.51112790282914	11	rotation+90	erasing	leftward	4
2114.156	0.929590979917636	11	rotation+90	erasing	rightward	7
2123.664	0.841401891329614	11	rotation+90	erasing	rightward	7
2133.172	1.30453700653825	11	rotation+90	erasing	downward	7
2142.68	0.834085831753243	11	rotation+90	erasing	upward	7
2152.189	3.51364267830842	11	rotation+90	erasing	upward	0
2161.727	3.51397163858913	11	rotation+90	erasing	leftward	0
2171.266	3.51194283685789	11	rotation+90	erasing	leftward	3
2180.802	1.41345997948585	11	rotation+90	erasing	downward	7
2190.307	1.87887477663981	11	rotation+90	erasing	downward	7
2199.816	3.50003285336137	11	rotation+90	erasing	leftward	1
2209.33	2.38132555206447	11	rotation+90	erasing	upward	7
2218.838	3.3974501524908	11	rotation+90	erasing	rightward	7
2228.346	1.79106328837401	11	rotation+90	erasing	upward	7
2237.855	2.19979110382174	11	rotation+90	erasing	downward	7
2247.365	3.51503574616384	11	rotation+90	erasing	rightward	2
2256.905	3.51339649143167	11	rotation+90	erasing	leftward	2
2276.454	4	11	rotation+90	score	n/a	n/a
2280.454	8	11	rotation+90	end_session	n/a	n/a
2298.471	8	12	rotation+90	start_session	n/a	n/a
2312.478	3.51405483866013	12	rotation+90	erasing	leftward	2
2322.015	2.66488504736857	12	rotation+90	erasing	upward	7
2331.523	1.52943490511779	12	rotation+90	erasing	upward	7
2341.031	2.40663074699157	12	rotation+90	erasing	downward	7
2350.54	3.50387200330411	12	rotation+90	erasing	rightward	4
2360.067	2.56258736007455	12	rotation+90	erasing	rightward	7
2369.577	3.50000512000437	12	rotation+90	erasing	leftward	2
2379.09	3.51538518646203	12	rotation+90	erasing	leftward	1
2388.631	1.12828256280112	12	rotation+90	erasing	downward	7
2398.139	3.50825728704622	12	rotation+90	erasing	downward	3
2407.671	3.50002602668888	12	rotation+90	erasing	leftward	4
2417.185	3.50512555104047	12	rotation+90	erasing	rightward	6
2426.714	3.03003223896084	12	rotation+90	erasing	upward	7
2436.223	3.50907648774527	12	rotation+90	erasing	rightward	5
2445.756	1.61236574921877	12	rotation+90	erasing	downward	7
2455.262	3.51214721036562	12	rotation+90	erasing	upward	3
2464.799	2.22829075480811	12	rotation+90	erasing	leftward	7
2484.314	4	12	rotation+90	score	n/a	n/a
2488.314	8	12	rotation+90	end_session	n/a	n/a
2506.334	8	13	rotation-90	start_session	n/a	n/a
2520.341	3.51226369046502	13	rotation-90	erasing	downward	2
2529.877	0.928006338565409	13	rotation-90	erasing	upward	7
2539.386	1.69233851079553	13	rotation-90	erasing	upward	7
2548.895	3.50828075373291	13	rotation-90	erasing	rightward	5
2558.427	1.59214002529282	13	rotation-90	erasing	leftward	7
2567.935	3.50655019225616	13	rotation-90	erasing	leftward	2
2577.467	1.71138322038035	13	rotation-90	erasing	downward	7
2586.975	1.69413563232907	13	rotation-90	erasing	downward	7
2596.483	2.17163107979185	13	rotation-90	erasing	rightward	7
2605.992	3.38276768662843	13	rotation-90	erasing	rightward	7
2615.5	3.5131609712307	13	rotation-90	erasing	downward	6
