onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.058	8	1	mirror	start_session	n/a	n/a
26.093	3.50023978687128	1	mirror	erasing	downward	0
35.622	3.50003285336137	1	mirror	erasing	upward	0
45.136	3.50008064006881	1	mirror	erasing	upward	2
54.649	3.51546155986053	1	mirror	erasing	leftward	5
64.191	2.89046091985999	1	mirror	erasing	rightward	7
73.7	3.50013482678172	1	mirror	erasing	rightward	1
83.214	3.5144068389605	1	mirror	erasing	downward	4
92.755	3.17706724443072	1	mirror	erasing	downward	7
102.264	3.5000332800284	1	mirror	erasing	leftward	4
111.781	3.50004096003495	1	mirror	erasing	leftward	6
121.291	3.50015104012889	1	mirror	erasing	downward	1
130.804	3.51143766309347	1	mirror	erasing	rightward	5
140.339	3.50000256000218	1	mirror	erasing	upward	0
149.853	1.68759696008274	1	mirror	erasing	rightward	7
159.36	3.50218624186559	1	mirror	erasing	leftward	2
168.886	3.51306411781471	1	mirror	erasing	upward	0
178.424	3.50002176001857	1	mirror	erasing	downward	5
197.974	4	1	mirror	score	n/a	n/a
201.974	8	1	mirror	end_session	n/a	n/a
219.993	8	2	rotation+90	start_session	n/a	n/a
234.001	3.50004864004151	2	rotation+90	erasing	leftward	2
243.515	2.36871242130127	2	rotation+90	erasing	upward	7
253.023	3.5152849197098	2	rotation+90	erasing	upward	2
262.564	3.51216257037873	2	rotation+90	erasing	rightward	4
272.1	2.67523044286331	2	rotation+90	erasing	downward	7
281.609	2.7083291377742	2	rotation+90	erasing	downward	7
291.117	2.3306503088216	2	rotation+90	erasing	leftward	7
300.626	3.50005717338212	2	rotation+90	erasing	leftward	3
310.151	3.51275009088008	2	rotation+90	erasing	rightward	0
319.689	3.50007125339414	2	rotation+90	erasing	rightward	0
329.203	3.50000853334062	2	rotation+90	erasing	leftward	2
338.715	3.500027733357	2	rotation+90	erasing	downward	5
348.227	3.50506709765726	2	rotation+90	erasing	upward	2
357.756	3.5162560138718	2	rotation+90	erasing	downward	1
367.297	3.50004053336792	2	rotation+90	erasing	rightward	3
376.809	3.50003498669652	2	rotation+90	erasing	upward	5
386.321	3.51093504933124	2	rotation+90	erasing	leftward	1
405.87	4	2	rotation+90	score	n/a	n/a
409.87	8	2	rotation+90	end_session	n/a	n/a
427.888	8	3	rotation+90	start_session	n/a	n/a
441.896	3.51032534214429	3	rotation+90	erasing	leftward	5
451.431	3.51424214548663	3	rotation+90	erasing	upward	1
460.97	3.51220353041368	3	rotation+90	erasing	upward	5
470.508	3.51369558502023	3	rotation+90	erasing	downward	4
480.047	3.50007253339523	3	rotation+90	erasing	rightward	1
489.562	3.50003626669761	3	rotation+90	erasing	rightward	2
499.075	3.50002602668888	3	rotation+90	erasing	leftward	5
508.589	3.50005504004697	3	rotation+90	erasing	leftward	4
518.102	3.50001322667795	3	rotation+90	erasing	downward	3
527.616	3.50001749334826	3	rotation+90	erasing	downward	4
537.127	3.50606635184329	3	rotation+90	erasing	leftward	3
546.658	3.50001877334935	3	rotation+90	erasing	rightward	2
556.172	3.50001792001529	3	rotation+90	erasing	upward	4
565.684	3.50005760004915	3	rotation+90	erasing	rightward	2
575.198	3.5000499200426	3	rotation+90	erasing	downward	4
584.711	2.56121690557176	3	rotation+90	erasing	upward	7
594.219	3.50005632004806	3	rotation+90	erasing	leftward	2
613.745	4	3	rotation+90	score	n/a	n/a
617.745	8	3	rotation+90	end_session	n/a	n/a
635.766	8	4	mirror	start_session	n/a	n/a
649.773	2.34484338759969	4	mirror	erasing	downward	7
659.281	3.50006912005898	4	mirror	erasing	upward	2
668.797	3.50010496008957	4	mirror	erasing	upward	4
678.308	3.50002133335154	4	mirror	erasing	leftward	5
687.821	3.38095819175099	4	mirror	erasing	rightward	7
697.331	3.46869927995672	4	mirror	erasing	rightward	7
706.839	3.50455040388301	4	mirror	erasing	downward	1
716.369	3.50001237334389	4	mirror	erasing	downward	3
725.88	3.50625493867088	4	mirror	erasing	leftward	5
735.411	3.50002261335263	4	mirror	erasing	leftward	4
744.924	3.50004053336792	4	mirror	erasing	downward	3
754.438	2.66142051107884	4	mirror	erasing	rightward	7
763.947	3.500027733357	4	mirror	erasing	upward	3
773.46	3.51392214521356	4	mirror	erasing	rightward	2
783	2.74466111544415	4	mirror	erasing	leftward	7
792.508	3.50001237334389	4	mirror	erasing	upward	4
802.023	3.50011434676424	4	mirror	erasing	downward	3
821.557	4	4	mirror	score	n/a	n/a
825.557	8	4	mirror	end_session	n/a	n/a
843.576	8	5	rotation-90	start_session	n/a	n/a
857.584	3.50005120004369	5	rotation-90	erasing	upward	6
867.103	3.51361579828548	5	rotation-90	erasing	downward	3
876.643	3.50005077337666	5	rotation-90	erasing	downward	0
886.156	3.50278400237568	5	rotation-90	erasing	rightward	0
895.683	3.51259990408525	5	rotation-90	erasing	leftward	0
905.221	3.50000725333952	5	rotation-90	erasing	leftward	1
914.734	3.50402091009784	5	rotation-90	erasing	upward	7
924.263	3.50004736004041	5	rotation-90	erasing	upward	5
933.786	3.50004309337011	5	rotation-90	erasing	rightward	0
943.301	3.51673516094734	5	rotation-90	erasing	rightward	3
952.842	3.51402283863282	5	rotation-90	erasing	upward	3
962.381	3.5000221866856	5	rotation-90	erasing	leftward	0
971.896	3.50005077337666	5	rotation-90	erasing	downward	3
981.409	3.50782507334406	5	rotation-90	erasing	leftward	2
990.944	3.50002346668669	5	rotation-90	erasing	rightward	3
1000.463	2.83046470866322	5	rotation-90	erasing	downward	7
1009.971	3.50005205337775	5	rotation-90	erasing	upward	4
1029.499	4	5	rotation-90	score	n/a	n/a
1033.499	8	5	rotation-90	end_session	n/a	n/a
1051.518	8	6	rotation+90	start_session	n/a	n/a
1065.525	3.50006400005461	6	rotation+90	erasing	upward	3
1075.038	3.50662272565139	6	rotation+90	erasing	leftward	2
1084.57	3.50005376004588	6	rotation+90	erasing	leftward	2
1094.083	3.50552619138235	6	rotation+90	erasing	rightward	1
