onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.056	8	1	mirror	start_session	n/a	n/a
26.064	3.50007198816051	1	mirror	erasing	leftward	6
35.573	3.18655841758587	1	mirror	erasing	downward	7
45.084	1.62645064940358	1	mirror	erasing	downward	7
54.593	3.50012887493501	1	mirror	erasing	upward	2
64.103	3.5018999889452	1	mirror	erasing	rightward	5
73.629	2.04152353338418	1	mirror	erasing	rightward	7
83.139	2.43967260195122	1	mirror	erasing	leftward	7
92.649	3.35241356802353	1	mirror	erasing	leftward	7
102.159	3.50184251570911	1	mirror	erasing	upward	3
111.685	3.38561286555984	1	mirror	erasing	upward	7
121.195	2.73840851331107	1	mirror	erasing	leftward	7
130.705	2.58904583578548	1	mirror	erasing	rightward	7
140.215	3.50003533431096	1	mirror	erasing	downward	6
149.725	2.24049851581232	1	mirror	erasing	rightward	7
159.234	3.50003709369574	1	mirror	erasing	upward	2
168.745	2.73837537823107	1	mirror	erasing	downward	7
178.254	2.19070352812362	1	mirror	erasing	leftward	7
197.789	4	1	mirror	score	n/a	n/a
201.789	8	1	mirror	end_session	n/a	n/a
219.828	8	2	rotation-90	start_session	n/a	n/a
233.836	2.10777785890496	2	rotation-90	erasing	upward	7
243.346	3.50183870370875	2	rotation-90	erasing	leftward	2
252.873	3.50002565769468	2	rotation-90	erasing	leftward	1
262.382	3.50182023016858	2	rotation-90	erasing	rightward	5
271.909	3.50002771031026	2	rotation-90	erasing	downward	6
281.419	3.02051911820808	2	rotation-90	erasing	downward	7
290.929	2.15751566658837	2	rotation-90	erasing	upward	7
300.438	2.55585914717342	2	rotation-90	erasing	upward	7
309.948	3.50003181554141	2	rotation-90	erasing	rightward	4
319.458	3.50183870370875	2	rotation-90	erasing	rightward	6
328.985	3.08690129235609	2	rotation-90	erasing	upward	7
338.494	2.47287014010274	2	rotation-90	erasing	downward	7
348.004	3.50180380924398	2	rotation-90	erasing	leftward	2
357.531	2.40649383057066	2	rotation-90	erasing	downward	7
367.04	3.50003386815698	2	rotation-90	erasing	rightward	6
376.551	3.50183547816999	2	rotation-90	erasing	leftward	6
386.077	3.07031615851236	2	rotation-90	erasing	upward	7
405.611	4	2	rotation-90	score	n/a	n/a
409.611	8	2	rotation-90	end_session	n/a	n/a
427.651	8	3	mirror	start_session	n/a	n/a
441.659	3.50181407232186	3	mirror	erasing	upward	5
451.185	2.37329218718798	3	mirror	erasing	leftward	7
460.695	1.46049638695674	3	mirror	erasing	leftward	7
470.205	3.50180674155195	3	mirror	erasing	downward	2
479.732	2.34008614534336	3	mirror	erasing	rightward	7
489.241	1.44390890726664	3	mirror	erasing	rightward	7
498.752	2.58901768562902	3	mirror	erasing	upward	7
508.261	3.50186421478804	3	mirror	erasing	upward	5
517.788	1.84219344846161	3	mirror	erasing	downward	7
527.297	2.9707540400606	3	mirror	erasing	downward	7
536.807	2.80480095053695	3	mirror	erasing	upward	7
546.317	1.75922584723907	3	mirror	erasing	rightward	7
555.827	2.30687863734476	3	mirror	erasing	leftward	7
565.336	1.74262429247074	3	mirror	erasing	rightward	7
574.847	2.90431204683013	3	mirror	erasing	downward	7
584.357	1.65961446601352	3	mirror	erasing	leftward	7
593.866	3.50183020001566	3	mirror	erasing	upward	6
613.417	4	3	mirror	score	n/a	n/a
617.417	8	3	mirror	end_session	n/a	n/a
635.457	8	4	rotation+90	start_session	n/a	n/a
649.465	3.50182844063088	4	rotation+90	erasing	rightward	1
658.992	3.50181700462982	4	rotation+90	erasing	upward	6
668.518	2.24049558350436	4	rotation+90	erasing	upward	7
678.028	3.50184720740185	4	rotation+90	erasing	leftward	2
687.554	1.82560010415558	4	rotation+90	erasing	downward	7
697.064	1.77580071800493	4	rotation+90	erasing	downward	7
706.574	3.50000982323168	4	rotation+90	erasing	rightward	3
716.084	3.50010336385573	4	rotation+90	erasing	rightward	1
725.594	3.50183577140079	4	rotation+90	erasing	leftward	2
735.12	3.48517938247354	4	rotation+90	erasing	leftward	7
744.63	3.50006641677538	4	rotation+90	erasing	rightward	3
754.139	2.27370631704172	4	rotation+90	erasing	downward	7
763.65	2.25708218350207	4	rotation+90	erasing	upward	7
773.159	2.7052224111606	4	rotation+90	erasing	downward	7
782.669	3.50001539461681	4	rotation+90	erasing	leftward	6
792.179	3.38564306833187	4	rotation+90	erasing	upward	7
801.689	3.50183342555442	4	rotation+90	erasing	rightward	1
821.239	4	4	rotation+90	score	n/a	n/a
825.239	8	4	rotation+90	end_session	n/a	n/a
843.281	8	5	mirror	start_session	n/a	n/a
857.287	1.41065096357106	5	mirror	erasing	rightward	7
866.798	3.50003093584902	5	mirror	erasing	upward	5
876.307	3.50184779386344	5	mirror	erasing	upward	6
885.834	1.6430451666328	5	mirror	erasing	leftward	7
895.343	3.50184632770946	5	mirror	erasing	downward	5
904.87	1.95837882076062	5	mirror	erasing	downward	7
914.379	1.69285247001495	5	mirror	erasing	rightward	7
923.89	1.5102793521828	5	mirror	erasing	rightward	7
933.399	2.58895640039258	5	mirror	erasing	leftward	7
942.909	1.36089732142464	5	mirror	erasing	leftward	7
952.42	1.42728741280416	5	mirror	erasing	rightward	7
961.929	2.27366438503784	5	mirror	erasing	downward	7
971.439	3.5000241915407	5	mirror	erasing	upward	5
980.949	3.50184192924751	5	mirror	erasing	downward	4
990.476	2.77160341238542	5	mirror	erasing	leftward	7
999.985	3.50186685386521	5	mirror	erasing	upward	2
1009.512	1.12856176452218	5	mirror	erasing	rightward	7
1029.046	4	5	mirror	score	n/a	n/a
1033.046	8	5	mirror	end_session	n/a	n/a
1051.086	8	6	rotation-90	start_session	n/a	n/a
1065.094	3.50005879277468	6	rotation-90	erasing	rightward	4
1074.604	3.50182990678486	6	rotation-90	erasing	upward	1
1084.13	3.02052087759286	6	rotation-90	erasing	upward	7
1093.64	1.90860846445881	6	rotation-90	erasing	downward	7
1103.149	3.5018345984776	6	rotation-90	erasing	leftward	1
1112.676	3.50183371878522	6	rotation-90	erasing	leftward	3
1122.202	3.50184104955513	6	rotation-90	erasing	rightward	7
1131.729	3.50004530415804	6	rotation-90	erasing	rightward	6
1141.238	3.50183987663194	6	rotation-90	erasing	downward	5
1150.765	3.50180410247478	6	rotation-90	erasing	downward	6
1160.291	2.78815746376474	6	rotation-90	erasing	rightward	7
1169.802	3.50179765139726	6	rotation-90	erasing	leftward	2
1179.328	3.16989616404269	6	rotation-90	erasing	upward	7
1188.838	3.50184574124787	6	rotation-90	erasing	leftward	4
1198.365	2.3732663828779	6	rotation-90	erasing	downward	7
1207.874	3.02052410313162	6	rotation-90	erasing	upward	7
1217.384	2.95417095883245	6	rotation-90	erasing	rightward	7
1236.918	4	6	rotation-90	score	n/a	n/a
1240.918	8	6	rotation-90	end_session	n/a	n/a
1258.959	8	7	rotation-90	start_session	n/a	n/a
1272.966	3.50180850093673	7	rotation-90	erasing	rightward	4
1282.492	3.50000894353929	7	rotation-90	erasing	leftward	2
1292.002	3.50007667985326	7	rotation-90	erasing	leftward	3
1301.513	3.50179941078204	7	rotation-90	erasing	downward	5
1311.039	2.95413723729086	7	rotation-90	erasing	upward	7
1320.549	1.41063073064611	7	rotation-90	erasing	upward	7
1330.058	3.50182756093849	7	rotation-90	erasing	rightward	6
1339.585	3.50181612493743	7	rotation-90	erasing	rightward	4
1349.111	3.50004178538849	7	rotation-90	erasing	downward	5
1358.621	3.03714677051729	7	rotation-90	erasing	downward	7
1368.131	2.62222959208957	7	rotation-90	erasing	rightward	7
1377.641	2.22390165273674	7	rotation-90	erasing	upward	7
1387.15	3.50184662094026	7	rotation-90	erasing	leftward	7
1396.677	2.82136937022529	7	rotation-90	erasing	upward	7
1406.187	2.98731952744098	7	rotation-90	erasing	downward	7
1416.394	3.50184662094026	7	rotation-90	erasing	leftward	5
1425.921	2.88777353668303	7	rotation-90	erasing	rightward	7
1445.454	4	7	rotation-90	score	n/a	n/a
1449.454	8	7	rotation-90	end_session	n/a	n/a
1467.494	8	8	rotation-90	start_session	n/a	n/a
