onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.053	8	1	rotation-90	start_session	n/a	n/a
26.06	3.50010893619916	1	rotation-90	erasing	upward	1
35.57	3.50009104896323	1	rotation-90	erasing	downward	1
45.08	3.50005703389162	1	rotation-90	erasing	downward	1
54.589	1.80909011736079	1	rotation-90	erasing	rightward	7
64.1	1.85890900176614	1	rotation-90	erasing	leftward	7
73.61	3.50195308090045	1	rotation-90	erasing	leftward	5
83.136	3.50003826695556	1	rotation-90	erasing	upward	6
92.646	3.50186921615493	1	rotation-90	erasing	upward	5
102.172	3.28610487257104	1	rotation-90	erasing	rightward	7
111.682	3.50184311838447	1	rotation-90	erasing	rightward	4
121.208	3.50185836652002	1	rotation-90	erasing	upward	3
130.735	3.50186511088767	1	rotation-90	erasing	leftward	0
140.261	3.50187596052258	1	rotation-90	erasing	downward	1
149.788	1.42731111152164	1	rotation-90	erasing	leftward	7
159.297	3.50185748681989	1	rotation-90	erasing	rightward	4
168.824	3.50005234215761	1	rotation-90	erasing	downward	2
178.334	3.50186041915365	1	rotation-90	erasing	upward	6
197.885	4	1	rotation-90	score	n/a	n/a
201.885	8	1	rotation-90	end_session	n/a	n/a
219.925	8	2	rotation+90	start_session	n/a	n/a
233.933	2.35671371009717	2	rotation+90	erasing	upward	7
243.442	3.500018327086	2	rotation+90	erasing	leftward	4
252.952	3.50005410155786	2	rotation+90	erasing	leftward	3
262.462	1.41070941070941	2	rotation+90	erasing	downward	7
271.972	3.50181086271312	2	rotation+90	erasing	rightward	0
281.498	1.02897175077626	2	rotation+90	erasing	rightward	7
291.008	3.50185602065301	2	rotation+90	erasing	upward	1
300.535	3.50006407149264	2	rotation+90	erasing	upward	3
310.045	1.90855253261268	2	rotation+90	erasing	downward	7
319.555	0.995791807821883	2	rotation+90	erasing	downward	7
329.064	1.51029820954633	2	rotation+90	erasing	upward	7
338.574	0.995796499555898	2	rotation+90	erasing	rightward	7
348.084	3.5018428251511	2	rotation+90	erasing	leftward	4
357.611	1.31112647654001	2	rotation+90	erasing	rightward	7
367.12	3.50005586095812	2	rotation+90	erasing	downward	5
376.63	1.57664108791928	2	rotation+90	erasing	leftward	7
386.14	3.50183021611593	2	rotation+90	erasing	upward	2
405.691	4	2	rotation+90	score	n/a	n/a
409.691	8	2	rotation+90	end_session	n/a	n/a
427.731	8	3	rotation-90	start_session	n/a	n/a
441.739	1.17835773474871	3	rotation-90	erasing	upward	7
451.248	3.50182288528153	3	rotation-90	erasing	leftward	1
460.775	1.4770798530197	3	rotation-90	erasing	leftward	7
470.284	3.50007638729443	3	rotation-90	erasing	downward	3
479.795	1.5932709391356	3	rotation-90	erasing	rightward	7
489.304	3.08694897416702	3	rotation-90	erasing	rightward	7
498.814	1.65965340401431	3	rotation-90	erasing	upward	7
508.324	0.763445996528703	3	rotation-90	erasing	upward	7
517.834	2.8214117838178	3	rotation-90	erasing	downward	7
527.344	3.50002448498689	3	rotation-90	erasing	downward	1
536.854	3.50184311838447	3	rotation-90	erasing	upward	5
546.381	2.12432156793059	3	rotation-90	erasing	rightward	7
555.89	2.27370256693565	3	rotation-90	erasing	leftward	7
565.4	1.70942009287874	3	rotation-90	erasing	rightward	7
574.909	3.50186012592028	3	rotation-90	erasing	downward	0
584.436	3.26948469805613	3	rotation-90	erasing	leftward	7
593.946	0.962596616731955	3	rotation-90	erasing	upward	7
613.48	4	3	rotation-90	score	n/a	n/a
617.48	8	3	rotation-90	end_session	n/a	n/a
635.52	8	4	rotation+90	start_session	n/a	n/a
649.528	3.15331501797667	4	rotation+90	erasing	rightward	7
659.038	3.5018366672502	4	rotation+90	erasing	upward	1
668.565	1.07876043214389	4	rotation+90	erasing	upward	7
678.074	1.14514348348935	4	rotation+90	erasing	downward	7
687.584	3.50183168228281	4	rotation+90	erasing	leftward	5
697.11	3.50005322185773	4	rotation+90	erasing	leftward	4
706.62	1.57666747892312	4	rotation+90	erasing	rightward	7
716.13	3.500018327086	4	rotation+90	erasing	rightward	4
725.64	1.06218277646849	4	rotation+90	erasing	downward	7
735.149	0.846385004279741	4	rotation+90	erasing	downward	7
744.66	3.50183461461657	4	rotation+90	erasing	rightward	1
754.187	3.50000865038459	4	rotation+90	erasing	leftward	4
763.696	3.50186247178728	4	rotation+90	erasing	upward	0
773.223	3.50194809593306	4	rotation+90	erasing	leftward	4
782.749	0.863019840463449	4	rotation+90	erasing	downward	7
792.259	0.979212099512851	4	rotation+90	erasing	upward	7
801.768	3.50182757701555	4	rotation+90	erasing	rightward	3
821.32	4	4	rotation+90	score	n/a	n/a
825.32	8	4	rotation+90	end_session	n/a	n/a
843.36	8	5	mirror	start_session	n/a	n/a
857.367	0.962609812233872	5	mirror	erasing	leftward	7
