onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.072	8	1	mirror	start_session	n/a	n/a
26.119	3.50000298666922	1	mirror	erasing	leftward	4
35.633	3.50847958056924	1	mirror	erasing	downward	0
45.166	2.95958311217759	1	mirror	erasing	downward	7
54.676	3.50005973338431	1	mirror	erasing	upward	3
64.191	1.34449480063556	1	mirror	erasing	rightward	7
73.701	1.89008417287183	1	mirror	erasing	rightward	7
83.21	1.18351162326325	1	mirror	erasing	leftward	7
92.719	1.29496601170433	1	mirror	erasing	leftward	7
102.228	3.23287102538327	1	mirror	erasing	upward	7
111.737	3.50007466673038	1	mirror	erasing	upward	6
121.264	1.23041427662018	1	mirror	erasing	leftward	7
130.77	1.06071642514468	1	mirror	erasing	rightward	7
140.279	1.85687070452967	1	mirror	erasing	downward	7
149.786	1.28898413993313	1	mirror	erasing	rightward	7
159.295	3.5008281607067	1	mirror	erasing	upward	4
168.821	1.29567769231163	1	mirror	erasing	downward	7
178.329	2.10833161244298	1	mirror	erasing	leftward	7
197.874	4	1	mirror	score	n/a	n/a
201.874	8	1	mirror	end_session	n/a	n/a
219.895	8	2	rotation-90	start_session	n/a	n/a
233.902	3.50089557409756	2	rotation-90	erasing	upward	2
243.42	3.36376393707856	2	rotation-90	erasing	leftward	7
252.927	2.14337761568223	2	rotation-90	erasing	leftward	7
262.435	3.50676224577045	2	rotation-90	erasing	rightward	3
271.967	3.51346945149393	2	rotation-90	erasing	downward	5
281.506	3.50005418671291	2	rotation-90	erasing	downward	4
291.026	3.50001621334717	2	rotation-90	erasing	upward	2
300.539	3.50003968003386	2	rotation-90	erasing	upward	2
310.052	3.51190657016027	2	rotation-90	erasing	rightward	3
319.588	3.50468224399551	2	rotation-90	erasing	rightward	1
329.11	3.51371307836849	2	rotation-90	erasing	upward	3
338.65	3.5000443733712	2	rotation-90	erasing	downward	1
348.163	3.5001207467697	2	rotation-90	erasing	leftward	2
357.688	3.50005845338321	2	rotation-90	erasing	downward	4
367.2	3.50004010670089	2	rotation-90	erasing	rightward	4
376.714	3.50001408001201	2	rotation-90	erasing	leftward	3
386.235	3.505341017891	2	rotation-90	erasing	upward	2
405.767	4	2	rotation-90	score	n/a	n/a
409.767	8	2	rotation-90	end_session	n/a	n/a
427.788	8	3	mirror	start_session	n/a	n/a
441.795	2.5793476943767	3	mirror	erasing	upward	7
451.303	1.50741333965938	3	mirror	erasing	leftward	7
460.812	3.1717343332133	3	mirror	erasing	leftward	7
470.321	2.21475730325957	3	mirror	erasing	downward	7
479.829	1.86121844157307	3	mirror	erasing	rightward	7
489.337	1.55750106240091	3	mirror	erasing	rightward	7
498.846	3.50296362919563	3	mirror	erasing	upward	4
508.374	1.84518258788914	3	mirror	erasing	upward	7
517.881	3.10952073345769	3	mirror	erasing	downward	7
527.389	3.12274527807597	3	mirror	erasing	downward	7
536.898	3.50257109552734	3	mirror	erasing	upward	2
546.425	1.11165321527741	3	mirror	erasing	rightward	7
555.934	1.67358308145756	3	mirror	erasing	leftward	7
565.441	1.36973514217399	3	mirror	erasing	rightward	7
574.952	2.49884799901696	3	mirror	erasing	downward	7
584.461	1.7112855136303	3	mirror	erasing	leftward	7
593.967	3.5083430471194	3	mirror	erasing	upward	5
613.51	4	3	mirror	score	n/a	n/a
617.51	8	3	mirror	end_session	n/a	n/a
635.532	8	4	rotation+90	start_session	n/a	n/a
649.542	3.50915030114159	4	rotation+90	erasing	rightward	2
659.078	3.51048022227646	4	rotation+90	erasing	upward	6
668.616	3.51159638322891	4	rotation+90	erasing	upward	2
678.151	3.51335467806266	4	rotation+90	erasing	leftward	2
687.689	2.27908077148226	4	rotation+90	erasing	downward	7
697.197	1.64384481608091	4	rotation+90	erasing	downward	7
706.703	3.50758784647496	4	rotation+90	erasing	rightward	1
716.236	3.51223211710474	4	rotation+90	erasing	rightward	1
725.774	3.51249067732538	4	rotation+90	erasing	leftward	2
735.311	3.51324715797091	4	rotation+90	erasing	leftward	6
744.848	3.51286614431244	4	rotation+90	erasing	rightward	1
754.388	3.51073451582679	4	rotation+90	erasing	downward	3
763.925	3.5043157370161	4	rotation+90	erasing	upward	5
773.444	3.11347124349546	4	rotation+90	erasing	downward	7
782.954	3.50776405995866	4	rotation+90	erasing	leftward	2
792.487	3.50289066913337	4	rotation+90	erasing	upward	1
802.008	3.50002346668669	4	rotation+90	erasing	rightward	3
821.541	4	4	rotation+90	score	n/a	n/a
825.541	8	4	rotation+90	end_session	n/a	n/a
843.56	8	5	mirror	start_session	n/a	n/a
857.567	2.64515596386642	5	mirror	erasing	rightward	7
867.074	3.50011306676315	5	mirror	erasing	upward	4
876.592	3.06214490636365	5	mirror	erasing	upward	7
886.1	2.24076137878304	5	mirror	erasing	leftward	7
895.609	3.50426539030647	5	mirror	erasing	downward	5
905.138	3.14417718969787	5	mirror	erasing	downward	7
914.647	1.4569544166011	5	mirror	erasing	rightward	7
924.155	1.65339618423141	5	mirror	erasing	rightward	7
933.664	1.4320195686567	5	mirror	erasing	leftward	7
943.174	1.31019717136825	5	mirror	erasing	leftward	7
952.681	2.37641205453829	5	mirror	erasing	rightward	7
962.19	3.1691457443377	5	mirror	erasing	downward	7
971.7	3.51476822593555	5	mirror	erasing	upward	3
981.239	2.12943157711495	5	mirror	erasing	downward	7
990.747	2.04436227785581	5	mirror	erasing	leftward	7
1000.255	3.50008576007318	5	mirror	erasing	upward	4
1009.769	1.54546478546328	5	mirror	erasing	rightward	7
1029.285	4	5	mirror	score	n/a	n/a
1033.285	8	5	mirror	end_session	n/a	n/a
1051.304	8	6	rotation-90	start_session	n/a	n/a
1065.312	3.51269761083529	6	rotation-90	erasing	rightward	5
1074.849	3.50005888005024	6	rotation-90	erasing	upward	3
1084.361	3.50298112254389	6	rotation-90	erasing	upward	6
1093.889	3.50004266670308	6	rotation-90	erasing	downward	3
1103.4	3.50701568598672	6	rotation-90	erasing	leftward	2
1112.932	3.50006016005134	6	rotation-90	erasing	leftward	3
1122.445	3.50407467014372	6	rotation-90	erasing	rightward	1
1131.974	3.50004266670308	6	rotation-90	erasing	rightward	6
1141.487	3.50498389758626	6	rotation-90	erasing	downward	5
1151.016	3.51316822457022	6	rotation-90	erasing	downward	6
1160.555	3.51154944985553	6	rotation-90	erasing	rightward	1
1170.09	3.51401046528893	6	rotation-90	erasing	leftward	5
1179.629	2.88814923788735	6	rotation-90	erasing	upward	7
1189.136	3.50004949337557	6	rotation-90	erasing	leftward	5
1198.65	3.4831987056629	6	rotation-90	erasing	downward	7
1208.158	3.51292075769238	6	rotation-90	erasing	upward	5
1217.696	3.5136951583532	6	rotation-90	erasing	rightward	4
1237.244	4	6	rotation-90	score	n/a	n/a
1241.244	8	6	rotation-90	end_session	n/a	n/a
1259.263	8	7	rotation-90	start_session	n/a	n/a
1273.271	3.51219841040931	7	rotation-90	erasing	rightward	2
1282.809	3.50012714677517	7	rotation-90	erasing	leftward	2
1292.33	3.51251499734613	7	rotation-90	erasing	leftward	5
1301.868	3.50002517335481	7	rotation-90	erasing	downward	4
1311.38	3.50004266670308	7	rotation-90	erasing	upward	4
1320.892	3.46599165097954	7	rotation-90	erasing	upward	7
1330.401	3.50001621334717	7	rotation-90	erasing	rightward	4
1339.915	3.50012544010704	7	rotation-90	erasing	rightward	2
