onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.054	8	1	mirror	start_session	n/a	n/a
26.061	3.5018525018525	1	mirror	erasing	upward	2
35.588	0.863081126239021	1	mirror	erasing	leftward	7
45.097	2.10779170929547	1	mirror	erasing	leftward	7
54.607	3.50005146245748	1	mirror	erasing	downward	4
64.117	3.50025907168764	1	mirror	erasing	rightward	3
73.644	0.979325287595964	1	mirror	erasing	rightward	7
83.153	3.50183520108332	1	mirror	erasing	upward	0
92.68	3.50181027624637	1	mirror	erasing	upward	1
102.206	3.50183138904943	1	mirror	erasing	downward	1
111.733	2.82138627251409	1	mirror	erasing	downward	7
121.243	1.4937281779387	1	mirror	erasing	upward	7
130.752	3.50001363535198	1	mirror	erasing	rightward	2
140.262	2.53929869719343	1	mirror	erasing	leftward	7
149.772	2.38993148015704	1	mirror	erasing	rightward	7
159.282	3.50195396060058	1	mirror	erasing	downward	6
168.808	0.846445117121809	1	mirror	erasing	leftward	7
178.318	3.50183578755007	1	mirror	erasing	upward	1
197.869	4	1	mirror	score	n/a	n/a
201.869	8	1	mirror	end_session	n/a	n/a
219.909	8	2	rotation-90	start_session	n/a	n/a
233.917	3.50186687028792	2	rotation-90	erasing	rightward	4
243.444	1.75919939077834	2	rotation-90	erasing	downward	7
252.953	3.50007638729443	2	rotation-90	erasing	downward	2
262.463	3.50007785346131	2	rotation-90	erasing	leftward	2
271.973	3.50184487778473	2	rotation-90	erasing	upward	5
281.499	3.50184223868434	2	rotation-90	erasing	upward	3
291.025	3.50187977255646	2	rotation-90	erasing	rightward	2
300.552	3.50188065225659	2	rotation-90	erasing	rightward	1
310.078	3.50003885342231	2	rotation-90	erasing	leftward	0
319.588	1.39421972504679	2	rotation-90	erasing	leftward	7
329.098	1.47707369511881	2	rotation-90	erasing	rightward	7
338.608	3.50186921615493	2	rotation-90	erasing	upward	2
348.135	3.50007257526055	2	rotation-90	erasing	downward	1
357.644	1.14517427299382	2	rotation-90	erasing	upward	7
367.155	3.50003210905467	2	rotation-90	erasing	leftward	1
376.664	1.21152976040194	2	rotation-90	erasing	downward	7
386.174	3.5018818251901	2	rotation-90	erasing	rightward	2
405.725	4	2	rotation-90	score	n/a	n/a
409.725	8	2	rotation-90	end_session	n/a	n/a
427.765	8	3	rotation+90	start_session	n/a	n/a
441.773	3.50006524442615	3	rotation+90	erasing	rightward	0
451.282	3.50003210905467	3	rotation+90	erasing	upward	2
460.792	2.83801964253092	3	rotation+90	erasing	upward	7
470.303	3.50009427453036	3	rotation+90	erasing	downward	4
479.812	3.50185514095289	3	rotation+90	erasing	leftward	3
489.339	3.50186950938831	3	rotation+90	erasing	leftward	5
498.865	3.50182376498166	3	rotation+90	erasing	rightward	4
508.392	3.50184605071823	3	rotation+90	erasing	rightward	3
517.918	2.05791916318232	3	rotation+90	erasing	downward	7
527.428	2.97076815121928	3	rotation+90	erasing	downward	7
536.937	3.50183226874956	3	rotation+90	erasing	rightward	4
546.464	3.50198093807116	3	rotation+90	erasing	leftward	5
555.99	2.27369670226813	3	rotation+90	erasing	upward	7
565.5	3.08696656816958	3	rotation+90	erasing	leftward	7
575.01	3.50008723692934	3	rotation+90	erasing	downward	3
584.52	3.43551372874681	3	rotation+90	erasing	upward	7
594.03	3.50183754695033	3	rotation+90	erasing	rightward	6
613.581	4	3	rotation+90	score	n/a	n/a
617.581	8	3	rotation+90	end_session	n/a	n/a
635.62	8	4	mirror	start_session	n/a	n/a
649.629	3.50182845671567	4	mirror	erasing	downward	1
659.155	1.52685533888541	4	mirror	erasing	upward	7
668.665	1.02896705904225	4	mirror	erasing	upward	7
678.174	1.02896852520913	4	mirror	erasing	leftward	7
687.684	1.11196324730159	4	mirror	erasing	rightward	7
697.194	2.2239396901051	4	mirror	erasing	rightward	7
706.704	3.05376082067811	4	mirror	erasing	downward	7
716.214	3.50002595115377	4	mirror	erasing	downward	3
725.724	3.50000571805083	4	mirror	erasing	leftward	3
735.234	2.32349740620417	4	mirror	erasing	leftward	7
744.743	3.50000601128421	4	mirror	erasing	downward	3
754.254	3.20314621818381	4	mirror	erasing	rightward	7
763.763	1.39408747679424	4	mirror	erasing	upward	7
773.273	1.04557667715562	4	mirror	erasing	rightward	7
782.783	0.929411102343433	4	mirror	erasing	leftward	7
792.293	3.50188563722398	4	mirror	erasing	upward	4
801.819	3.18653630683706	4	mirror	erasing	downward	7
821.354	4	4	mirror	score	n/a	n/a
825.354	8	4	mirror	end_session	n/a	n/a
843.394	8	5	rotation+90	start_session	n/a	n/a
857.402	2.88775055692349	5	rotation+90	erasing	leftward	7
866.911	3.5018841710571	5	rotation+90	erasing	upward	6
876.438	3.50185338155263	5	rotation+90	erasing	upward	3
885.964	3.50009398129699	5	rotation+90	erasing	rightward	1
895.474	1.37752272338739	5	rotation+90	erasing	downward	7
904.983	3.50009046249648	5	rotation+90	erasing	downward	0
914.494	3.50183842665046	5	rotation+90	erasing	leftward	1
924.02	3.50001598121899	5	rotation+90	erasing	leftward	6
933.53	3.50185748681989	5	rotation+90	erasing	rightward	3
943.057	3.50186217855391	5	rotation+90	erasing	rightward	4
952.583	1.80906401959034	5	rotation+90	erasing	leftward	7
962.093	2.35664216115344	5	rotation+90	erasing	downward	7
971.602	1.17834336631329	5	rotation+90	erasing	upward	7
981.113	1.875354409189	5	rotation+90	erasing	downward	7
990.622	1.49369005759983	5	rotation+90	erasing	rightward	7
1000.132	3.50003504138842	5	rotation+90	erasing	upward	6
1009.642	3.50183725371695	5	rotation+90	erasing	leftward	6
1029.193	4	5	rotation+90	score	n/a	n/a
1033.193	8	5	rotation+90	end_session	n/a	n/a
1051.233	8	6	rotation+90	start_session	n/a	n/a
