onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.055	8	1	mirror	start_session	n/a	n/a
26.062	3.5000564469283	1	mirror	erasing	upward	2
35.573	0.896195711616895	1	mirror	erasing	rightward	7
45.083	2.90437567791295	1	mirror	erasing	rightward	7
54.592	2.34009054380531	1	mirror	erasing	leftward	7
64.103	3.50192608648608	1	mirror	erasing	downward	5
73.628	3.50182081663017	1	mirror	erasing	downward	6
83.155	3.50183577140079	1	mirror	erasing	upward	2
92.681	1.39420247527844	1	mirror	erasing	upward	7
102.191	2.00818700383517	1	mirror	erasing	leftward	7
111.701	3.50004383800406	1	mirror	erasing	leftward	5
121.211	3.50003386815698	1	mirror	erasing	upward	6
130.72	2.29030845827165	1	mirror	erasing	downward	7
140.231	1.54345958971733	1	mirror	erasing	rightward	7
149.741	1.72600221154667	1	mirror	erasing	downward	7
159.25	3.50182609478451	1	mirror	erasing	leftward	6
168.777	1.8256065552331	1	mirror	erasing	rightward	7
178.286	3.50180175662841	1	mirror	erasing	upward	1
197.838	4	1	mirror	score	n/a	n/a
201.838	8	1	mirror	end_session	n/a	n/a
219.878	8	2	rotation-90	start_session	n/a	n/a
233.885	1.79240901708157	2	rotation-90	erasing	downward	7
243.395	3.50183020001566	2	rotation-90	erasing	rightward	6
252.921	1.39408606265228	2	rotation-90	erasing	rightward	7
262.431	2.05796820967644	2	rotation-90	erasing	leftward	7
271.942	1.80898388784743	2	rotation-90	erasing	upward	7
281.451	1.46048260510931	2	rotation-90	erasing	upward	7
290.961	2.15751683951156	2	rotation-90	erasing	downward	7
300.471	3.50179354616611	2	rotation-90	erasing	downward	2
309.998	3.50180908739832	2	rotation-90	erasing	leftward	0
319.523	1.37752292111828	2	rotation-90	erasing	leftward	7
329.034	3.5018184707838	2	rotation-90	erasing	downward	5
338.56	1.7923984607729	2	rotation-90	erasing	upward	7
348.07	3.50001187584725	2	rotation-90	erasing	rightward	3
357.579	1.97495838321922	2	rotation-90	erasing	upward	7
367.09	3.18647572650129	2	rotation-90	erasing	leftward	7
376.6	3.50000923677009	2	rotation-90	erasing	rightward	3
386.109	1.31113576204673	2	rotation-90	erasing	downward	7
405.643	4	2	rotation-90	score	n/a	n/a
409.643	8	2	rotation-90	end_session	n/a	n/a
427.684	8	3	mirror	start_session	n/a	n/a
441.691	3.20310631111846	3	mirror	erasing	downward	7
451.201	1.69284689862982	3	mirror	erasing	upward	7
460.711	3.50004559738884	3	mirror	erasing	upward	2
470.221	1.11198132237119	3	mirror	erasing	leftward	7
479.73	1.26133989466563	3	mirror	erasing	rightward	7
489.241	1.06225084545769	3	mirror	erasing	rightward	7
498.75	3.50181201970628	3	mirror	erasing	downward	4
508.277	3.07028126404759	3	mirror	erasing	downward	7
517.787	1.39407257403564	3	mirror	erasing	leftward	7
527.296	1.56007375340991	3	mirror	erasing	leftward	7
536.807	2.77156060068915	3	mirror	erasing	downward	7
546.316	0.995772491608468	3	mirror	erasing	rightward	7
555.826	3.50184632770946	3	mirror	erasing	upward	5
565.352	3.50009368723945	3	mirror	erasing	rightward	5
574.862	1.64303636970891	3	mirror	erasing	leftward	7
584.372	1.90860377276607	3	mirror	erasing	upward	7
593.882	2.67201050470005	3	mirror	erasing	downward	7
613.416	4	3	mirror	score	n/a	n/a
617.416	8	3	mirror	end_session	n/a	n/a
635.457	8	4	rotation+90	start_session	n/a	n/a
649.464	3.50182609478451	4	rotation+90	erasing	rightward	4
