onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.049	8	1	rotation+90	start_session	n/a	n/a
26.056	3.5001048306245	1	rotation+90	erasing	rightward	5
35.566	3.02064327589984	1	rotation+90	erasing	downward	7
45.075	3.50009280809134	1	rotation+90	erasing	downward	3
54.586	3.50185689490811	1	rotation+90	erasing	leftward	2
64.112	3.50030569489802	1	rotation+90	erasing	upward	2
73.638	3.50183079721417	1	rotation+90	erasing	upward	4
83.164	3.50184516560746	1	rotation+90	erasing	rightward	3
92.691	3.50183519570191	1	rotation+90	erasing	rightward	4
102.218	3.50006348483973	1	rotation+90	erasing	leftward	2
111.727	3.50005322170167	1	rotation+90	erasing	leftward	4
121.238	3.50000806389419	1	rotation+90	erasing	rightward	4
130.747	3.500013635312	1	rotation+90	erasing	upward	5
140.257	3.50002213905496	1	rotation+90	erasing	downward	6
149.767	3.50001715410219	1	rotation+90	erasing	upward	3
159.277	3.50183988742217	1	rotation+90	erasing	leftward	4
168.803	2.45639911056713	1	rotation+90	erasing	downward	7
178.313	3.50002037965987	1	rotation+90	erasing	rightward	1
197.847	4	1	rotation+90	score	n/a	n/a
201.847	8	1	rotation+90	end_session	n/a	n/a
219.888	8	2	mirror	start_session	n/a	n/a
233.895	3.50184018065469	2	mirror	erasing	upward	0
243.422	2.88777111911897	2	mirror	erasing	rightward	7
252.931	3.5018439926774	2	mirror	erasing	rightward	2
262.458	3.50002595107767	2	mirror	erasing	downward	1
271.968	3.38565090141142	2	mirror	erasing	leftward	7
281.478	3.50000307894142	2	mirror	erasing	leftward	3
290.987	1.42729666304329	2	mirror	erasing	upward	7
300.497	3.50007902616308	2	mirror	erasing	upward	2
310.007	3.50186393248849	2	mirror	erasing	downward	0
319.534	3.5000101165218	2	mirror	erasing	downward	3
329.044	3.50184721823507	2	mirror	erasing	upward	3
338.57	3.50184194004978	2	mirror	erasing	leftward	3
348.097	3.50002213905496	2	mirror	erasing	rightward	5
357.606	3.50005116907406	2	mirror	erasing	leftward	4
367.116	3.50183724832953	2	mirror	erasing	downward	2
376.642	3.5018422332823	2	mirror	erasing	rightward	1
386.169	3.5000391465409	2	mirror	erasing	upward	5
405.703	4	2	mirror	score	n/a	n/a
409.703	8	2	mirror	end_session	n/a	n/a
427.744	8	3	rotation-90	start_session	n/a	n/a
441.751	3.50185044379275	3	rotation-90	erasing	leftward	0
451.277	3.50186803774372	3	rotation-90	erasing	upward	0
460.804	3.5018404738872	3	rotation-90	erasing	upward	2
470.331	3.50184281974733	3	rotation-90	erasing	rightward	1
479.857	3.50182229347121	3	rotation-90	erasing	downward	0
489.384	3.50000659773161	3	rotation-90	erasing	downward	2
498.893	3.50184369944488	3	rotation-90	erasing	leftward	0
508.42	0.763366930937585	3	rotation-90	erasing	leftward	7
517.929	3.5000209661249	3	rotation-90	erasing	rightward	1
527.439	3.50184369944488	3	rotation-90	erasing	rightward	2
536.965	3.5018422332823	3	rotation-90	erasing	leftward	0
546.492	3.50002477814761	3	rotation-90	erasing	downward	0
556.002	3.5018349024694	3	rotation-90	erasing	upward	2
565.528	3.50183812802708	3	rotation-90	erasing	downward	0
575.055	1.82559849489614	3	rotation-90	erasing	rightward	7
584.565	2.10772365650391	3	rotation-90	erasing	upward	7
594.075	3.5018604136983	3	rotation-90	erasing	leftward	2
613.625	4	3	rotation-90	score	n/a	n/a
617.625	8	3	rotation-90	end_session	n/a	n/a
635.666	8	4	rotation+90	start_session	n/a	n/a
649.673	3.50003943977341	4	rotation+90	erasing	downward	0
659.183	1.34431684594414	4	rotation+90	erasing	rightward	7
668.693	3.50185366935043	4	rotation+90	erasing	rightward	4
678.219	3.30269249028594	4	rotation+90	erasing	upward	7
687.729	3.50011743962269	4	rotation+90	erasing	leftward	1
697.24	3.50189090987997	4	rotation+90	erasing	leftward	5
706.765	3.50004295856361	4	rotation+90	erasing	downward	5
716.276	3.50000718419664	4	rotation+90	erasing	downward	4
725.785	3.50005820665444	4	rotation+90	erasing	upward	1
735.295	0.929518632433921	4	rotation+90	erasing	upward	7
744.805	2.37327472983755	4	rotation+90	erasing	downward	7
754.315	3.50005234200412	4	rotation+90	erasing	leftward	5
763.824	3.50183900772462	4	rotation+90	erasing	rightward	4
773.351	3.50184252651482	4	rotation+90	erasing	leftward	3
782.877	3.16990947618996	4	rotation+90	erasing	upward	7
792.387	3.50183578216695	4	rotation+90	erasing	rightward	4
801.914	3.50000689096413	4	rotation+90	erasing	downward	3
821.448	4	4	rotation+90	score	n/a	n/a
825.448	8	4	rotation+90	end_session	n/a	n/a
843.488	8	5	mirror	start_session	n/a	n/a
857.496	3.500004545104	5	mirror	erasing	upward	5
867.005	3.5018422332823	5	mirror	erasing	rightward	4
876.532	1.4106941312151	5	mirror	erasing	rightward	7
886.042	3.50182903781908	5	mirror	erasing	downward	4
895.569	3.50184457914243	5	mirror	erasing	leftward	6
905.094	3.50006495100231	5	mirror	erasing	leftward	1
914.605	3.50182317316876	5	mirror	erasing	upward	3
924.132	3.50184164681727	5	mirror	erasing	upward	2
933.658	3.50001275561445	5	mirror	erasing	downward	2
943.168	3.50184106035224	5	mirror	erasing	downward	1
952.694	3.50184018065469	5	mirror	erasing	upward	5
962.221	2.87117797073129	5	mirror	erasing	leftward	7
971.73	3.50183900772462	5	mirror	erasing	rightward	2
981.257	3.50008928930115	5	mirror	erasing	leftward	1
990.766	3.50003797361083	5	mirror	erasing	downward	0
1000.277	3.50183226337675	5	mirror	erasing	rightward	3
1009.802	2.17413407704919	5	mirror	erasing	upward	7
1029.337	4	5	mirror	score	n/a	n/a
1033.337	8	5	mirror	end_session	n/a	n/a
1051.377	8	6	rotation+90	start_session	n/a	n/a
1065.385	3.50183959418966	6	rotation+90	erasing	upward	3
1074.911	3.50185220318785	6	rotation+90	erasing	leftward	4
1084.438	3.50000337217393	6	rotation+90	erasing	leftward	5
1093.947	3.50184575207249	6	rotation+90	erasing	downward	3
1103.474	3.50182375963379	6	rotation+90	erasing	rightward	5
1113	2.67202646833983	6	rotation+90	erasing	rightward	7
1122.511	1.39410391515258	6	rotation+90	erasing	upward	7
1132.02	2.62222532397061	6	rotation+90	erasing	upward	7
1141.53	1.44376548084415	6	rotation+90	erasing	downward	7
1151.04	3.50187155653391	6	rotation+90	erasing	downward	5
1160.566	3.50003269542554	6	rotation+90	erasing	upward	3
1170.077	3.50005732695689	6	rotation+90	erasing	rightward	2
1179.586	3.50184633853753	6	rotation+90	erasing	leftward	5
1189.113	3.25289222561427	6	rotation+90	erasing	rightward	7
1198.622	2.27370997486118	6	rotation+90	erasing	downward	7
1208.132	3.50004295856361	6	rotation+90	erasing	leftward	2
1217.642	3.50184692500256	6	rotation+90	erasing	upward	4
1237.193	4	6	rotation+90	score	n/a	n/a
1241.193	8	6	rotation+90	end_session	n/a	n/a
1259.233	8	7	mirror	start_session	n/a	n/a
1273.241	3.50185220318785	7	mirror	erasing	downward	1
1282.767	3.50183754156204	7	mirror	erasing	upward	5
1292.294	3.50001158268439	7	mirror	erasing	upward	0
1301.803	1.14524862158725	7	mirror	erasing	leftward	7
1311.314	2.09114898176475	7	mirror	erasing	rightward	7
1320.823	3.35247516100664	7	mirror	erasing	rightward	7
1330.333	3.50181584235585	7	mirror	erasing	downward	0
