onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.055	8	1	rotation-90	start_session	n/a	n/a
26.092	3.500110933428	1	rotation-90	erasing	downward	1
35.607	2.22352787074378	1	rotation-90	erasing	leftward	7
45.118	3.50006613338977	1	rotation-90	erasing	leftward	4
54.644	3.50029696025341	1	rotation-90	erasing	rightward	3
64.166	3.51182337008928	1	rotation-90	erasing	upward	6
73.703	3.22814227468141	1	rotation-90	erasing	upward	7
83.211	3.5000221866856	1	rotation-90	erasing	downward	5
92.724	3.51334998472532	1	rotation-90	erasing	downward	2
102.265	3.51280470426001	1	rotation-90	erasing	rightward	2
111.805	3.47963176928578	1	rotation-90	erasing	rightward	7
121.313	3.42323108115719	1	rotation-90	erasing	downward	7
130.82	2.55247620477969	1	rotation-90	erasing	upward	7
140.329	3.33200753664643	1	rotation-90	erasing	leftward	7
149.837	3.51478059927944	1	rotation-90	erasing	upward	1
159.375	3.5000055466714	1	rotation-90	erasing	rightward	5
168.888	3.5000499200426	1	rotation-90	erasing	leftward	5
178.413	3.51539201313452	1	rotation-90	erasing	downward	5
197.981	4	1	rotation-90	score	n/a	n/a
201.981	8	1	rotation-90	end_session	n/a	n/a
220.004	8	2	mirror	start_session	n/a	n/a
234.012	3.50001024000874	2	mirror	erasing	leftward	1
243.525	3.50003712003168	2	mirror	erasing	rightward	5
253.037	3.17601167019663	2	mirror	erasing	rightward	7
262.544	3.50675797910014	2	mirror	erasing	downward	4
272.077	3.50005376004588	2	mirror	erasing	upward	1
281.59	3.50281301573377	2	mirror	erasing	upward	1
291.121	3.50947414141793	2	mirror	erasing	leftward	3
300.655	3.51248001064961	2	mirror	erasing	leftward	5
310.193	3.50000640000546	2	mirror	erasing	downward	1
319.705	3.50487552416045	2	mirror	erasing	downward	5
329.237	3.31093743866661	2	mirror	erasing	leftward	7
338.746	3.50332586950474	2	mirror	erasing	upward	3
348.277	3.51227862381109	2	mirror	erasing	rightward	6
357.814	3.50034944029819	2	mirror	erasing	upward	4
367.335	3.51290497101224	2	mirror	erasing	downward	4
376.874	3.51173718334906	2	mirror	erasing	rightward	5
386.41	3.51269803750233	2	mirror	erasing	leftward	6
405.96	4	2	mirror	score	n/a	n/a
409.96	8	2	mirror	end_session	n/a	n/a
427.981	8	3	rotation-90	start_session	n/a	n/a
441.988	3.50005120004369	3	rotation-90	erasing	rightward	4
451.5	3.5020919484518	3	rotation-90	erasing	downward	2
461.028	3.51297409107122	3	rotation-90	erasing	downward	5
470.566	3.50004181336901	3	rotation-90	erasing	upward	5
480.087	3.51390166519609	3	rotation-90	erasing	leftward	2
489.626	3.50004096003495	3	rotation-90	erasing	leftward	3
499.139	3.01858732252785	3	rotation-90	erasing	rightward	7
508.647	3.49793535823817	3	rotation-90	erasing	rightward	7
518.168	3.3333651911383	3	rotation-90	erasing	upward	7
527.677	3.39378593603067	3	rotation-90	erasing	upward	7
537.184	3.50000725333952	3	rotation-90	erasing	rightward	6
546.7	3.51246550397056	3	rotation-90	erasing	leftward	4
556.236	2.91540643448016	3	rotation-90	erasing	downward	7
565.744	3.50004394670417	3	rotation-90	erasing	leftward	4
575.261	3.33200198997503	3	rotation-90	erasing	upward	7
584.77	3.50002560002185	3	rotation-90	erasing	downward	5
594.284	3.50008832007537	3	rotation-90	erasing	rightward	6
613.819	4	3	rotation-90	score	n/a	n/a
617.819	8	3	rotation-90	end_session	n/a	n/a
635.84	8	4	rotation-90	start_session	n/a	n/a
649.849	2.62710538846326	4	rotation-90	erasing	upward	7
659.358	3.40682744049275	4	rotation-90	erasing	rightward	7
668.866	2.77553431512262	4	rotation-90	erasing	rightward	7
678.375	3.50004010670089	4	rotation-90	erasing	downward	4
687.897	3.5045030438426	4	rotation-90	erasing	leftward	2
697.419	3.04557699889237	4	rotation-90	erasing	leftward	7
706.926	3.25894976763714	4	rotation-90	erasing	upward	7
716.435	2.75437632373446	4	rotation-90	erasing	upward	7
725.944	2.66674147561939	4	rotation-90	erasing	downward	7
735.452	2.67858063238881	4	rotation-90	erasing	downward	7
744.96	3.50004608003932	4	rotation-90	erasing	upward	6
754.477	3.47910440883576	4	rotation-90	erasing	leftward	7
763.986	3.23900692395258	4	rotation-90	erasing	rightward	7
773.495	3.38983030598853	4	rotation-90	erasing	leftward	7
783.003	2.84926536470644	4	rotation-90	erasing	downward	7
792.514	3.50000768000655	4	rotation-90	erasing	rightward	6
802.026	3.42315300109056	4	rotation-90	erasing	upward	7
821.547	4	4	rotation-90	score	n/a	n/a
825.547	8	4	rotation-90	end_session	n/a	n/a
843.568	8	5	rotation+90	start_session	n/a	n/a
857.575	3.51258582407324	5	rotation+90	erasing	upward	2
867.112	3.50008405340506	5	rotation+90	erasing	leftward	1
876.633	3.51378049175935	5	rotation+90	erasing	leftward	1
886.171	3.51398358526599	5	rotation+90	erasing	rightward	3
895.71	3.50002730668997	5	rotation+90	erasing	downward	1
905.223	3.50160128136643	5	rotation+90	erasing	downward	1
914.75	3.51303937112693	5	rotation+90	erasing	upward	3
924.286	3.50002730668997	5	rotation+90	erasing	upward	2
933.808	3.50002090668451	5	rotation+90	erasing	rightward	2
943.329	3.50001920001638	5	rotation+90	erasing	rightward	4
952.842	3.50002986669215	5	rotation+90	erasing	upward	4
962.354	3.50005290671181	5	rotation+90	erasing	downward	4
971.864	3.50797056680155	5	rotation+90	erasing	leftward	6
981.396	3.5000332800284	5	rotation+90	erasing	downward	4
990.907	2.79025987435509	5	rotation+90	erasing	rightward	7
1000.415	3.50010752009175	5	rotation+90	erasing	leftward	2
1009.943	3.3969756987526	5	rotation+90	erasing	upward	7
1029.46	4	5	rotation+90	score	n/a	n/a
1033.46	8	5	rotation+90	end_session	n/a	n/a
1051.479	8	6	rotation-90	start_session	n/a	n/a
1065.486	3.51223126377068	6	rotation-90	erasing	upward	2
1075.023	3.50006144005243	6	rotation-90	erasing	leftward	5
1084.535	3.50500907094107	6	rotation-90	erasing	leftward	5
1094.065	3.50006144005243	6	rotation-90	erasing	downward	4
1103.584	3.51390166519609	6	rotation-90	erasing	rightward	4
1113.125	3.09443037391392	6	rotation-90	erasing	rightward	7
1122.629	3.51101440939896	6	rotation-90	erasing	upward	6
1132.166	2.82932124102079	6	rotation-90	erasing	upward	7
1141.673	3.50001706668123	6	rotation-90	erasing	downward	5
1151.189	2.41431843355173	6	rotation-90	erasing	downward	7
1160.697	3.16942521124285	6	rotation-90	erasing	upward	7
1170.205	3.08991111672415	6	rotation-90	erasing	rightward	7
1179.714	3.48825598997844	6	rotation-90	erasing	leftward	7
1189.225	3.50005248004478	6	rotation-90	erasing	rightward	6
1198.738	2.5532087920715	6	rotation-90	erasing	downward	7
1208.247	3.19885072968596	6	rotation-90	erasing	leftward	7
1217.755	3.08736263454945	6	rotation-90	erasing	upward	7
1237.274	4	6	rotation-90	score	n/a	n/a
1241.274	8	6	rotation-90	end_session	n/a	n/a
1259.294	8	7	rotation+90	start_session	n/a	n/a
1273.302	3.50029696025341	7	rotation+90	erasing	downward	0
1282.815	3.51467947919316	7	rotation+90	erasing	rightward	1
1292.356	3.5131264112012	7	rotation+90	erasing	rightward	0
1301.893	3.51246422396947	7	rotation+90	erasing	leftward	1
1311.431	3.50021802685272	7	rotation+90	erasing	upward	2
1320.943	3.50412843018959	7	rotation+90	erasing	upward	2
1330.473	3.51295062438453	7	rotation+90	erasing	downward	0
1340.011	3.50005717338212	7	rotation+90	erasing	downward	1
1349.531	3.0802522284819	7	rotation+90	erasing	leftward	7
1359.038	2.95934076530412	7	rotation+90	erasing	leftward	7
1368.546	3.50003200002731	7	rotation+90	erasing	downward	6
1378.061	3.50010496008957	7	rotation+90	erasing	upward	0
1387.574	3.50368512314464	7	rotation+90	erasing	rightward	0
1397.1	3.50002133335154	7	rotation+90	erasing	upward	3
1406.612	3.50002048001748	7	rotation+90	erasing	leftward	1
1416.126	2.74790463821196	7	rotation+90	erasing	rightward	7
1425.635	3.50006229338649	7	rotation+90	erasing	downward	2
1445.16	4	7	rotation+90	score	n/a	n/a
1449.16	8	7	rotation+90	end_session	n/a	n/a
1467.18	8	8	rotation+90	start_session	n/a	n/a
1481.188	3.50001322667795	8	rotation+90	erasing	rightward	3
1490.701	3.34055154393732	8	rotation+90	erasing	upward	7
1500.209	3.50310314931469	8	rotation+90	erasing	upward	3
